name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.cal_frequency.raw,2026,166,88,0.5301204819277109,0.5203962703962703,0.40603146853146854,0.25086129593353157,0.6949342390896214,0.5301204819277109,0.6626506024096386,0.5399804528406758,0.029806193022709024,0.4987572493786247,0.5674603174603174
annual.order_joint.raw,2023,242,126,0.5206611570247934,0.5084244549893404,0.49969053022488136,0.2568173487668731,0.7078786380203258,0.45867768595041325,0.3512396694214876,0.4716623569377442,0.08203206742025404,0.23073382957413271,0.6865084983280734
annual.order_joint.raw,2024,242,134,0.5537190082644629,0.5543032786885246,0.5226092896174863,0.2650186650593336,0.7277268808554717,0.49586776859504134,0.5702479338842975,0.5315553961613887,0.1420554485309511,0.23534037285726805,0.8172217439256287
annual.order_joint.raw,2025,243,120,0.49382716049382713,0.5042888765910348,0.4778638627559491,0.28047409056166306,0.761324817545518,0.5720164609053497,0.4279835390946502,0.46349497629698416,0.1249567223700256,0.1767276409715829,0.7671111347529104
annual.order_joint.raw,2026,166,102,0.6144578313253012,0.5999417249417249,0.5587121212121212,0.26236540456184193,0.7285728454418866,0.5301204819277109,0.7469879518072289,0.5713817305858733,0.09933791707821897,0.38451265799858453,0.8488403981378029
annual.order_joint.platt,2023,242,126,0.5206611570247934,0.5084244549893404,0.49969053022488136,0.2568173487668731,0.7078786380203258,0.45867768595041325,0.3512396694214876,0.4716623569377442,0.08203206742025404,0.23073382957413271,0.6865084983280734
annual.order_joint.platt,2024,242,132,0.5454545454545454,0.5457650273224044,0.5527322404371585,0.253485149397775,0.701654244114744,0.49586776859504134,0.5371900826446281,0.5138359681852414,0.10738943925372348,0.29014008329311164,0.7411333977611917
annual.order_joint.platt,2025,243,135,0.5555555555555556,0.5146651909241837,0.5399142224681793,0.2538124828588931,0.7029952453656118,0.5720164609053497,0.7860082304526749,0.531713521138852,0.07732312444992862,0.2660083330002468,0.7671111347529104
annual.order_joint.platt,2026,166,102,0.6144578313253012,0.5999417249417249,0.5587121212121212,0.26236540456184193,0.7285728454418866,0.5301204819277109,0.7469879518072289,0.5713817305858733,0.09933791707821897,0.38451265799858453,0.8488403981378029
annual.order_joint.shrink,2023,242,126,0.5206611570247934,0.5084244549893404,0.49969053022488136,0.2568173487668731,0.7078786380203258,0.45867768595041325,0.3512396694214876,0.4716623569377442,0.08203206742025404,0.23073382957413271,0.6865084983280734
annual.order_joint.shrink,2024,242,132,0.5454545454545454,0.5458333333333334,0.5521174863387979,0.2536489079518845,0.7019838645062065,0.49586776859504134,0.5454545454545454,0.5143562888084515,0.1076226461595886,0.29014008329311164,0.7411333977611917
annual.order_joint.shrink,2025,243,139,0.5720164609053497,0.5290536801328168,0.5370088544548977,0.25542764541810603,0.7062669094174248,0.5720164609053497,0.8024691358024691,0.5221690957198871,0.07466599815125141,0.2660083330002468,0.7671111347529104
annual.order_joint.shrink,2026,166,102,0.6144578313253012,0.5999417249417249,0.5587121212121212,0.26236540456184193,0.7285728454418866,0.5301204819277109,0.7469879518072289,0.5713817305858733,0.09933791707821897,0.38451265799858453,0.8488403981378029
annual.order_fixed.raw,2023,242,124,0.512396694214876,0.5001031565917062,0.4969396877793824,0.2569866698527218,0.7081606459016878,0.45867768595041325,0.3512396694214876,0.47222050512117036,0.08071556292315887,0.2354166011319446,0.687357401871724
annual.order_fixed.raw,2024,242,134,0.5537190082644629,0.5543032786885246,0.5247267759562841,0.2646376401331927,0.7268699586320714,0.49586776859504134,0.5702479338842975,0.5311274678408491,0.1417575127032404,0.23189220070358996,0.8162023559454532
annual.order_fixed.raw,2025,243,122,0.5020576131687243,0.5139042612064195,0.47807138904261204,0.2804673542500771,0.7613159094651161,0.5720164609053497,0.41975308641975306,0.46322969075523207,0.12490544631068991,0.17662196735742272,0.7668627909725583
annual.order_fixed.raw,2026,166,101,0.608433734939759,0.5935314685314685,0.5587121212121212,0.2623249193332223,0.7284205378107448,0.5301204819277109,0.7530120481927711,0.5709653094397238,0.0989248834001303,0.3865689726991138,0.8485484561858868
