method,row_index,date,metric,uniform_loss,intercept_loss,slopes_loss,weighted_loss,total,intercept_at_uniform_slopes,slopes_at_uniform_intercept,intercept_at_weighted_slopes,slopes_at_weighted_intercept,interaction,symmetric_intercept,symmetric_slopes
learned_vol_interaction,3498,2025-06-27,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3498,2025-06-27,brier,0.2517502754962767,0.271005347297236,0.2768342807990866,0.2969036746419816,0.045153399145704876,0.01925507180095931,0.02508400530280991,0.020069393842894967,0.025898327344745564,0.0008143220419356556,0.01966223282192714,0.025491166323777736
learned_vol_interaction,3503,2025-07-04,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3503,2025-07-04,brier,0.13424292063015264,0.14684061155700376,0.12982899408163448,0.1413753508505653,0.0071324302204126555,0.012597690926851118,-0.00441392654851816,0.011546356768930816,-0.005465260706438463,-0.0010513341579203028,0.012072023847890967,-0.004939593627478311
learned_vol_interaction,3508,2025-07-11,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3508,2025-07-11,brier,0.16562712695108953,0.17998459649552137,0.1685520845041933,0.1826594682768238,0.01703234132573428,0.014357469544431845,0.002924957553103763,0.014107383772630516,0.0026748717813024347,-0.0002500857718013283,0.01423242665853118,0.002799914667203099
learned_vol_interaction,3513,2025-07-18,direction_error,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
learned_vol_interaction,3513,2025-07-18,brier,0.22879174393426124,0.2462118483063652,0.2611801916717776,0.27990968527438287,0.051117941340121625,0.01742010437210395,0.03238844773751634,0.018729493602605285,0.033697836968017675,0.0013093892305013344,0.018074798987354618,0.03304314235276701
learned_vol_interaction,3518,2025-07-25,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3518,2025-07-25,brier,0.20542614844687812,0.18889461841669128,0.17386428453583466,0.15892305385576663,-0.04650309459111149,-0.016531530030186842,-0.03156186391104346,-0.01494123068006803,-0.029971564560924646,0.0015902993501188123,-0.015736380355127436,-0.030766714235984052
learned_vol_interaction,3523,2025-08-01,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3523,2025-08-01,brier,0.27455090219192013,0.2942644473094174,0.2835633096714919,0.30316954917068284,0.028618646978762707,0.01971354511749729,0.009012407479571771,0.019606239499190936,0.008905101861265419,-0.00010730561830635255,0.019659892308344112,0.008958754670418595
learned_vol_interaction,3528,2025-08-08,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3528,2025-08-08,brier,0.5512857759202293,0.5728524054841988,0.5863517142622033,0.6070717209539619,0.055785945033732576,0.021566629563969486,0.03506593834197402,0.020720006691758552,0.03421931546976309,-0.0008466228722109337,0.02114331812786402,0.034642626905868557
learned_vol_interaction,3533,2025-08-15,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3533,2025-08-15,brier,0.337043372190563,0.35905170986993684,0.3857613765820092,0.4084166913611854,0.0713733191706224,0.022008337679373824,0.04871800439144619,0.022655314779176206,0.04936498149124857,0.0006469770998023816,0.022331826229275015,0.04904149294134738
learned_vol_interaction,3538,2025-08-22,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3538,2025-08-22,brier,0.44901521393159916,0.4713461390679664,0.49929584134599986,0.5207931982730812,0.07177798434148208,0.022330925136367252,0.0502806274144007,0.02149735692708138,0.04944705920511483,-0.0008335682092858732,0.021914141031724316,0.049863843309757766
learned_vol_interaction,3543,2025-08-29,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3543,2025-08-29,brier,0.24836089677518988,0.2306744108403125,0.20516814736342426,0.18942529922341142,-0.05893559755177846,-0.017686485934877372,-0.043192749411765624,-0.01574284814001284,-0.04124911161690109,0.0019436377948645334,-0.016714667037445105,-0.04222093051433336
learned_vol_interaction,3548,2025-09-05,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3548,2025-09-05,brier,0.34915868689312574,0.3711999974803605,0.3977126753751448,0.419900861232217,0.07074217433909125,0.02204131058723474,0.048553988482019084,0.022188185857072162,0.048700863751856505,0.00014687526983742094,0.022114748222153452,0.048627426116937794
learned_vol_interaction,3553,2025-09-12,direction_error,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-0.5,-0.5
learned_vol_interaction,3553,2025-09-12,brier,0.2805169373952098,0.26080211795445596,0.2628885814384576,0.2437237784788584,-0.036793158916351376,-0.019714819440753817,-0.017628355956752162,-0.019164802959599214,-0.01707833947559756,0.0005500164811546027,-0.019439811200176516,-0.01735334771617486
learned_vol_interaction,3558,2025-09-19,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3558,2025-09-19,brier,0.3624330157404648,0.38450546924505047,0.3765385059552061,0.3983327608894456,0.035899745148980755,0.022072453504585643,0.014105490214741279,0.021794254934239476,0.013827291644395112,-0.00027819857034616646,0.02193335421941256,0.013966390929568195
learned_vol_interaction,3563,2025-09-26,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3563,2025-09-26,brier,0.2034384143911341,0.1867845845010557,0.20237697511056552,0.18578674012670868,-0.017651674264425432,-0.01665382989007841,-0.0010614392805685935,-0.01659023498385684,-0.0009978443743470233,6.359490622157016e-05,-0.016622032436967624,-0.0010296418274578084
learned_vol_interaction,3567,2025-10-10,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3567,2025-10-10,brier,0.3493040088151633,0.37135378578575023,0.37343822291329715,0.39556764465198585,0.046263635836822525,0.02204977697058691,0.02413421409813382,0.022129421738688704,0.024213858866235616,7.964476810179422e-05,0.022089599354637807,0.02417403648218472
learned_vol_interaction,3572,2025-10-17,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3572,2025-10-17,brier,0.37351247429697965,0.39572368433759036,0.38133414942704136,0.40337951227435304,0.02986703797737339,0.022211210040610718,0.007821675130061712,0.022045362847311678,0.007655827936762671,-0.00016584719329904019,0.022128286443961198,0.0077387515334121915
learned_vol_interaction,3577,2025-10-24,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3577,2025-10-24,brier,0.20606400837263397,0.1891985502572605,0.21375988082008285,0.19659361432260056,-0.009470394050033415,-0.01686545811537346,0.007695872447448876,-0.01716626649748229,0.007395064065340046,-0.0003008083821088303,-0.017015862306427876,0.007545468256394461
learned_vol_interaction,3582,2025-10-31,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3582,2025-10-31,brier,0.3106116456229211,0.3319207495278854,0.3384892036474703,0.36017091240715443,0.049559266784233336,0.02130910390496432,0.02787755802454922,0.021681708759684115,0.028250162879269014,0.00037260485471979354,0.02149540633232422,0.028063860451909117
