candidate,reference,cutoff,seed,mode,return_mse_candidate,return_mse_reference,return_mse_difference,auxiliary_mse_candidate,auxiliary_mse_reference,auxiliary_mse_difference,joint_mse_candidate,joint_mse_reference,joint_mse_difference
decay40,constant40,2017-12-31,20260912,eval,0.8249416233182681,0.6947967927825345,0.13014483053573367,1.0450377907510735,0.949723186248889,0.09531460450218454,0.9294454023933756,0.7897691114074233,0.13967629098595225
decay40,constant40,2017-12-31,20260912,dropout,0.8760082959010274,0.7679174981483208,0.10809079775270658,1.0533416148916739,0.9656734098666442,0.0876682050250297,0.9813424573901947,0.8644848391349851,0.11685761825520957
decay40,constant40,2018-12-31,20260910,eval,0.8095241609531505,0.701669870406377,0.10785429054677353,0.9612897223929202,0.8807623924426676,0.08052732995025258,0.9056531331924426,0.7897461096506437,0.11590702354179883
decay40,constant40,2018-12-31,20260910,dropout,0.861220445304143,0.7662927288465914,0.0949277164575516,0.980250621628053,0.909870271307728,0.07038035032032497,0.9592455074669484,0.8572797559773642,0.1019657514895842
decay40,constant40,2018-12-31,20260911,eval,0.8254735146200953,0.7413527703845463,0.08412074423554905,0.97888102031612,0.8986098929068373,0.08027112740928266,0.9233616166517074,0.83121375967523,0.09214785697647732
decay40,constant40,2018-12-31,20260911,dropout,0.8742761106726358,0.8128606452824219,0.06141546539021392,0.9944433077628289,0.9303267785151166,0.06411652924771227,0.9737204414489187,0.9058933231339336,0.06782711831498511
decay40,constant40,2018-12-31,20260912,eval,0.8451892867590695,0.7371632399250132,0.10802604683405626,1.0390488639268356,1.0067130745849624,0.0323357893418732,0.949094173151753,0.8378345473835095,0.11125962576824355
decay40,constant40,2018-12-31,20260912,dropout,0.8904043474458837,0.8017764622150665,0.08862788523081722,1.0375881559993125,1.0086933765528876,0.028894779446424934,0.9941631630458149,0.9026457998703553,0.09151736317545955
decay40,constant40,2019-12-31,20260910,eval,0.8422515280715615,0.7108909996325387,0.1313605284390228,1.0068921334095144,0.922859711662864,0.08403242174665049,0.9429407414125128,0.8031769707988251,0.13976377061368772
decay40,constant40,2019-12-31,20260910,dropout,0.8814804102262145,0.7798234759560759,0.10165693427013855,1.0121459223274099,0.9409375073331221,0.07120841499428776,0.9826950024589555,0.8739172266893881,0.10877777576956738
