window,partition,state,method,sparse,sample_share,error_share,brier_difference_vs_frequency,accuracy_difference_vs_native,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,range,low_range,neutral_50,False,0.7166666666666667,0.7014925373134329,0.0005316913572705195,-0.05813953488372098,86,0.45348837209302323,0.5465116279069767,39,0.5,0.0,0.5465116279069767,0,39,0,47,0.5,0.25,0.6931471805599454,0.5,0.0,-0.046511627906976716,0.0
early_2015_2017,range,high_range,native_mse,False,0.2833333333333333,0.3114754098360656,,0.0,34,0.4411764705882353,0.5588235294117647,15,0.41785714285714287,0.6176470588235294,0.5882352941176471,11,4,10,9,0.37142857142857144,,,,,,
early_2015_2017,range,high_range,learned_probe,False,0.2833333333333333,0.3157894736842105,0.03812259757483999,0.02941176470588236,34,0.47058823529411764,0.5294117647058824,16,0.4857142857142857,0.4117647058823529,0.5882352941176471,8,8,6,12,0.34285714285714286,0.28889766847763854,0.7734248757364178,0.47104865534716966,0.08877041557066487,-0.11718663877047741,0.0
early_2015_2017,range,high_range,learned_clip,False,0.2833333333333333,0.3157894736842105,0.038472631687136216,0.02941176470588236,34,0.47058823529411764,0.5294117647058824,16,0.4857142857142857,0.4117647058823529,0.5882352941176471,8,8,6,12,0.3464285714285714,0.28924770258993476,0.7741904197636424,0.4715097220501678,0.08945051922087406,-0.1167255720674793,0.0
early_2015_2017,range,high_range,raw25_probe,False,0.2833333333333333,0.29850746268656714,0.07144050366697635,-0.02941176470588236,34,0.4117647058823529,0.5882352941176471,14,0.4571428571428572,0.23529411764705882,0.5882352941176471,4,10,4,16,0.4607142857142857,0.3222155745697749,0.8673846479224417,0.40460207493219924,0.19304377997995445,-0.18363321918544784,0.0
early_2015_2017,range,high_range,raw25_clip,False,0.2833333333333333,0.29850746268656714,0.05039549051315373,-0.02941176470588236,34,0.4117647058823529,0.5882352941176471,14,0.41428571428571426,0.47058823529411764,0.5882352941176471,8,6,8,12,0.425,0.3011705614159523,0.805405486604223,0.4581195793876537,0.16444761967716404,-0.1301157147299934,0.0
early_2015_2017,range,high_range,training_frequency,False,0.2833333333333333,0.3157894736842105,0.0,0.02941176470588236,34,0.47058823529411764,0.5294117647058824,16,0.49642857142857144,0.35294117647058826,0.5882352941176471,7,9,5,13,0.49642857142857144,0.25077507090279855,0.6946974808814943,0.49607957880842,0.005377940403560725,-0.09215571530922706,0.0
early_2015_2017,range,high_range,neutral_50,False,0.2833333333333333,0.29850746268656714,-0.000775070902798547,-0.02941176470588236,34,0.4117647058823529,0.5882352941176471,14,0.5,0.0,0.5882352941176471,0,14,0,20,0.5,0.25,0.6931471805599452,0.5,0.0,-0.08823529411764708,0.0
early_2015_2017,volume,low_volume_change,native_mse,False,0.575,0.5901639344262295,,0.0,69,0.4782608695652174,0.5217391304347826,33,0.458994708994709,0.5797101449275363,0.6086956521739131,23,10,17,19,0.47001763668430335,,,,,,
early_2015_2017,volume,low_volume_change,learned_probe,False,0.575,0.5789473684210527,0.008389226304983899,0.04347826086956519,69,0.5217391304347826,0.4782608695652174,36,0.5277777777777778,0.4782608695652174,0.6086956521739131,21,15,12,21,0.5211640211640212,0.25739367967231797,0.7076551080827036,0.4873161495972434,0.10092117411348309,-0.12137950257666968,0.0
early_2015_2017,volume,low_volume_change,learned_clip,False,0.575,0.5789473684210527,0.008882922580493502,0.04347826086956519,69,0.5217391304347826,0.4782608695652174,36,0.5277777777777778,0.4782608695652174,0.6086956521739131,21,15,12,21,0.5220458553791887,0.25788737594782757,0.7086661492168422,0.4868272284466132,0.10135412326169109,-0.12186842372729989,0.0
early_2015_2017,volume,low_volume_change,raw25_probe,False,0.575,0.582089552238806,0.05572370880775346,-0.043478260869565244,69,0.43478260869565216,0.5652173913043478,30,0.5291005291005291,0.07246376811594203,0.6086956521739131,4,26,1,38,0.5211640211640212,0.3047281621750875,0.8164953700649626,0.35830043206081147,0.11809595515746672,-0.2503952201131016,0.0
early_2015_2017,volume,low_volume_change,raw25_clip,False,0.575,0.5671641791044776,0.04348776055175718,-0.02898550724637683,69,0.4492753623188406,0.5507246376811594,31,0.5277777777777778,0.14492753623188406,0.6086956521739131,7,24,3,35,0.5458553791887125,0.29249221391909125,0.7850840656772676,0.3829908786870582,0.10874631609929448,-0.22570477348685486,0.0
early_2015_2017,volume,low_volume_change,training_frequency,False,0.575,0.5087719298245614,0.0,0.10144927536231885,69,0.5797101449275363,0.42028985507246375,40,0.5224867724867724,0.7681159420289855,0.6086956521739131,33,7,20,9,0.5881834215167548,0.24900445336733407,0.6911559739032409,0.5021129076250765,0.005720553220460286,-0.10658274454883654,0.0
early_2015_2017,volume,low_volume_change,neutral_50,False,0.575,0.6268656716417911,0.0009955466326659335,-0.08695652173913043,69,0.391304347826087,0.6086956521739131,27,0.5,0.0,0.6086956521739131,0,27,0,42,0.5,0.25,0.6931471805599454,0.5,0.0,-0.10869565217391308,0.0
early_2015_2017,volume,high_volume_change,native_mse,False,0.425,0.4098360655737705,,0.0,51,0.5098039215686274,0.49019607843137253,26,0.5115384615384615,0.5882352941176471,0.49019607843137253,15,11,15,10,0.5076923076923077,,,,,,
early_2015_2017,volume,high_volume_change,learned_probe,False,0.425,0.42105263157894735,0.017578406343122965,0.019607843137254943,51,0.5294117647058824,0.47058823529411764,27,0.5315384615384615,0.6078431372549019,0.49019607843137253,16,11,15,9,0.46615384615384614,0.26854545872790403,0.7322417442158954,0.5077952967865821,0.12575839243643167,0.017599218355209556,0.0
early_2015_2017,volume,high_volume_change,learned_clip,False,0.425,0.42105263157894735,0.018095873005348095,0.019607843137254943,51,0.5294117647058824,0.47058823529411764,27,0.5315384615384615,0.6078431372549019,0.49019607843137253,16,11,15,9,0.46153846153846156,0.26906292539012916,0.7333330065268888,0.5071796885980258,0.12615310794908732,0.01698361016665323,0.0
early_2015_2017,volume,high_volume_change,raw25_probe,False,0.425,0.417910447761194,0.02402901279100983,-0.05882352941176466,51,0.45098039215686275,0.5490196078431373,23,0.44384615384615383,0.13725490196078433,0.49019607843137253,2,21,5,23,0.4676923076923077,0.2749960651757909,0.7518274109022365,0.4411424041838717,0.11199050850738161,-0.049053674247500845,0.0
early_2015_2017,volume,high_volume_change,raw25_clip,False,0.425,0.43283582089552236,0.020779413084247245,-0.07843137254901955,51,0.43137254901960786,0.5686274509803921,22,0.42538461538461536,0.19607843137254902,0.49019607843137253,3,19,7,22,0.4123076923076923,0.2717464654690283,0.7393250997702644,0.45656708219897907,0.10480577470307224,-0.03362899623239346,0.0
early_2015_2017,volume,high_volume_change,training_frequency,False,0.425,0.49122807017543857,0.0,-0.05882352941176466,51,0.45098039215686275,0.5490196078431373,23,0.4584615384615385,0.8823529411764706,0.49019607843137253,21,2,24,4,0.3823076923076923,0.25096705238478106,0.6950814436797216,0.5037372253251928,0.004571447465152806,0.0135411468938203,0.0
