cutoff,grouping,period,rows,sample_share,mean_loss_share,fitted_loss_share,fitted_auxiliary_loss_share,mean_return,return_sd,fitted_mse,fitted_ensemble_mse
2018-12-31,quarter,2011Q2,61,0.031754294638209266,0.02124690679471008,0.020137936935795804,0.022158211611453697,-0.004862434724661683,0.023534277501035535,0.0004901630313702294,0.0004429901387655846
2018-12-31,quarter,2011Q3,65,0.0338365434669443,0.03410420638337219,0.03167743688684863,0.035292296761645844,-0.01259463527935694,0.02645540795304626,0.0007235892220890527,0.0006972432064423163
2018-12-31,quarter,2011Q4,60,0.031233732431025507,0.037624161443918426,0.03274261669609715,0.03608217920283433,-0.009238000383778089,0.03089168103764465,0.0008102472120664399,0.0007866125264655572
2018-12-31,quarter,2012Q1,58,0.03019260801665799,0.023474490759014977,0.021122468559241724,0.032496369306430864,0.006512604856358185,0.02562695222707476,0.0005407195730178254,0.0005080332593440509
2018-12-31,quarter,2012Q2,59,0.03071317022384175,0.017560901617499507,0.01828546723817369,0.019443412144953678,-0.0014358845886548763,0.02230424237373707,0.00046016063340974635,0.0004320165146395066
2018-12-31,quarter,2012Q3,65,0.0338365434669443,0.03177420013072622,0.03332097704939633,0.02669326303229621,-0.004446999650953107,0.028225907882191335,0.0007611316517981855,0.00073209921631874
2018-12-31,quarter,2012Q4,61,0.031754294638209266,0.03521952974180971,0.03663288243299083,0.03411560365008738,0.007959766816611447,0.03052093255436784,0.0008916546296888295,0.0008614249674841702
2018-12-31,quarter,2013Q1,56,0.029151483602290473,0.03319898998041094,0.03271133047318574,0.0314674654654023,-0.0014055427026336623,0.03158543720556282,0.000867292505040707,0.000835273148129221
2018-12-31,quarter,2013Q2,57,0.029672045809474232,0.05043778568634406,0.04502024814586917,0.04011531209807564,-0.009227507908687552,0.03729856400175236,0.0011727040917924546,0.0011439366681133922
2018-12-31,quarter,2013Q3,64,0.03331598125976054,0.0327417059760231,0.03641499908302243,0.03694889169192681,0.008799594200155964,0.028424624309429755,0.0008448035712411993,0.0008175830936867811
2018-12-31,quarter,2013Q4,61,0.031754294638209266,0.021831923101244485,0.024554061937826322,0.02282235557507237,-0.0065309297356445865,0.023393829454200855,0.0005976527521299294,0.000551680384675185
2018-12-31,quarter,2014Q1,58,0.03019260801665799,0.0229691627239143,0.02824581327844488,0.02446781647824712,-0.002334353654553435,0.025664451560652234,0.0007230719294303084,0.0006922710865430421
2018-12-31,quarter,2014Q2,61,0.031754294638209266,0.011766220765300662,0.012655129923185153,0.014128247856540705,-0.00048227158546752607,0.01800175148215457,0.00030802941062479803,0.00027888127000392745
2018-12-31,quarter,2014Q3,65,0.0338365434669443,0.020649249669942936,0.023168190544055837,0.022956049407381347,0.009834217022282456,0.02150837034612869,0.0005292174689785033,0.0004983079348888402
2018-12-31,quarter,2014Q4,61,0.031754294638209266,0.09385296842371975,0.07738504547555951,0.06615032492851958,0.03224728816210056,0.04048175813142953,0.0018835737043946773,0.0018505538782079929
