job,method,cutoff,seed,train_n,objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
learned_order_shrink16_2017-12-31_20260910,learned_order_shrink16,2017-12-31,20260910,1678,0.6496819340368329,0.6470269692927334,0.22837375440363925,0.6108462455303934,0.6620662668174995,0.5202622169257647,0.13829052992226878
learned_order_shrink16_2017-12-31_20260911,learned_order_shrink16,2017-12-31,20260911,1678,0.6503775303088781,0.6472129828698953,0.22819980160015124,0.6126340882002383,0.6656065683407683,0.5202622169249098,0.1367217200236622
learned_order_shrink16_2017-12-31_20260912,learned_order_shrink16,2017-12-31,20260912,1678,0.640498445800804,0.6376442497150664,0.2234247246152486,0.6311084624553039,0.6865339053595441,0.5202622169238296,0.15261774848081527
learned_order_shrink16_2018-12-31_20260910,learned_order_shrink16,2018-12-31,20260910,1921,0.6307984580606423,0.6286438370074697,0.21985634011677638,0.6330036439354503,0.6964086246798062,0.5111920874544106,0.1686998395696426
learned_order_shrink16_2018-12-31_20260911,learned_order_shrink16,2018-12-31,20260911,1921,0.6453069360056642,0.6435491785276377,0.22613927511821988,0.6251952108276939,0.6764053278501851,0.5111920874544494,0.1484881495062207
learned_order_shrink16_2018-12-31_20260912,learned_order_shrink16,2018-12-31,20260912,1921,0.6483617635269477,0.6455171605073314,0.2270362321620427,0.6236335242061426,0.6745682129231383,0.5111920874544504,0.14172026525084505
learned_order_shrink16_2019-12-31_20260910,learned_order_shrink16,2019-12-31,20260910,2165,0.650800676195503,0.6491511904200387,0.22885398014929398,0.625866050808314,0.6655948305638297,0.5214780600461892,0.13860950369402839
learned_order_shrink16_2019-12-31_20260911,learned_order_shrink16,2019-12-31,20260911,2165,0.63900990479841,0.6372075968477959,0.22320866714941728,0.6364896073903002,0.6873159696454648,0.5214780600461552,0.15681905399475912
learned_order_shrink16_2019-12-31_20260912,learned_order_shrink16,2019-12-31,20260912,2165,0.6560362813626046,0.6544272070699965,0.23130553821620695,0.6157043879907621,0.656009007869061,0.5214780600461859,0.12898320847211406
raw_order_shrink4_2014-12-31_-1,raw_order_shrink4,2014-12-31,-1,1077,0.6542663955567574,0.6494932072588945,0.22862435954032742,0.6072423398328691,0.6722051671208306,0.4921077065921121,0.1279455719859055
