window,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
pooled_2021_2026,full,training_frequency,272,0.47058823529411764,0.5294117647058824,128,0.5,1.0,0.47058823529411764,128,0,144,0,0.4396158854166667,0.25211307660789817,0.69737708782693,0.5162450559234371,0.00921621435403991,0.04565682062931942,0.0
pooled_2021_2026,rolling3,learned_market,272,0.45955882352941174,0.5404411764705882,125,0.45963541666666663,0.5036764705882353,0.47058823529411764,59,66,78,69,0.458984375,0.32831407363729737,0.9322823263344405,0.49953039950931893,0.24815364582325378,0.028942164215201294,0.0
pooled_2021_2026,rolling3,learned_order_extension,272,0.4522058823529412,0.5477941176470589,123,0.45182291666666663,0.4963235294117647,0.47058823529411764,57,66,78,71,0.4564344618055556,0.33158416059154205,0.9381013483297013,0.4998180959496018,0.25174214777585185,0.029229860655484163,0.0
pooled_2021_2026,rolling3,learned_order_offset,272,0.44485294117647056,0.5551470588235294,121,0.4448784722222222,0.5036764705882353,0.47058823529411764,57,64,80,71,0.4556206597222222,0.3313375587397485,0.9349703321378853,0.49977375006882097,0.2510538032032891,0.029185514774703325,0.0
pooled_2021_2026,rolling3,learned_vol_interaction,272,0.44485294117647056,0.5551470588235294,121,0.4448784722222222,0.5036764705882353,0.47058823529411764,57,64,80,71,0.45751953125,0.33082151314454955,0.9344378604463612,0.4998421411988269,0.2509673967214039,0.029253905904709276,0.0
pooled_2021_2026,rolling3,native_mse,272,0.46691176470588236,0.5330882352941176,127,0.4644097222222222,0.45955882352941174,0.47058823529411764,54,73,71,74,0.4653862847222222,,,,,,
pooled_2021_2026,rolling3,training_frequency,272,0.4742647058823529,0.5257352941176471,129,0.47265625,0.4742647058823529,0.47058823529411764,57,72,72,71,0.4382595486111111,0.2575246465684345,0.7083012431328543,0.49500408096592896,0.05298671282107483,0.02441584567181132,0.0
pooled_2021_2026,rolling5,learned_market,272,0.5,0.5,136,0.5021701388888888,0.5367647058823529,0.47058823529411764,69,67,77,59,0.5010850694444444,0.2849551253272138,0.7770111202289955,0.5168797525794409,0.18890683522675544,0.046291517285323214,0.0
pooled_2021_2026,rolling5,learned_order_extension,272,0.5147058823529411,0.4852941176470588,140,0.5169270833333334,0.5367647058823529,0.47058823529411764,71,69,75,57,0.5027126736111112,0.286620486172223,0.785252172498331,0.5180076202731155,0.19365403418715446,0.04741938497899789,0.0
pooled_2021_2026,rolling5,learned_order_offset,272,0.5220588235294118,0.47794117647058826,142,0.5243055555555556,0.5367647058823529,0.47058823529411764,72,70,74,56,0.5023871527777778,0.28616379090918237,0.7834087903705436,0.5181008083195304,0.19209318309669096,0.047512573025412785,0.0
pooled_2021_2026,rolling5,learned_vol_interaction,272,0.5036764705882353,0.4963235294117647,137,0.5060763888888888,0.5404411764705882,0.47058823529411764,70,67,77,58,0.501953125,0.28542351576449104,0.7787183830291113,0.517106855071485,0.19098656083903418,0.046518619777367376,0.0
pooled_2021_2026,rolling5,native_mse,272,0.4742647058823529,0.5257352941176471,129,0.4756944444444444,0.5257352941176471,0.47058823529411764,64,65,79,64,0.4867621527777778,,,,,,
pooled_2021_2026,rolling5,training_frequency,272,0.4338235294117647,0.5661764705882353,118,0.4461805555555556,0.7132352941176471,0.47058823529411764,84,34,110,44,0.4397243923611111,0.25472801233221387,0.7026335310065076,0.5126978301704394,0.03181822293325367,0.04210959487632171,0.0
