job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling3_learned_order_extension_2021-12-31_20260911,rolling3,learned_order_extension,2021-12-31,20260911,724,6,0.46565196318677704,2.2709698704881376e-15,0.010108460465860213,
rolling3_learned_order_offset_2021-12-31_20260911,rolling3,learned_order_offset,2021-12-31,20260911,724,4,0.4664814030808825,3.903127820947816e-18,0.12238478357820057,0.4586367324655246
rolling3_learned_market_2021-12-31_20260912,rolling3,learned_market,2021-12-31,20260912,724,6,0.44251725683860305,4.445228907190568e-16,0.010070397325310959,
rolling3_learned_vol_interaction_2021-12-31_20260912,rolling3,learned_vol_interaction,2021-12-31,20260912,724,6,0.44196497702419235,2.0192181260370035e-15,0.0100706532335417,
rolling3_learned_order_extension_2021-12-31_20260912,rolling3,learned_order_extension,2021-12-31,20260912,724,6,0.4419590405547182,3.624054181750047e-15,0.01007047219473449,
rolling3_learned_order_offset_2021-12-31_20260912,rolling3,learned_order_offset,2021-12-31,20260912,724,2,0.4419594198952014,6.637108194312326e-12,0.08281968791747198,0.4356176301178833
rolling3_learned_market_2022-12-31_20260910,rolling3,learned_market,2022-12-31,20260910,722,6,0.39556498291079256,7.998272183451505e-13,0.010120798946163476,
rolling3_learned_vol_interaction_2022-12-31_20260910,rolling3,learned_vol_interaction,2022-12-31,20260910,722,6,0.39516984951833045,1.2395978341017688e-12,0.010117366391065467,
rolling3_learned_order_extension_2022-12-31_20260910,rolling3,learned_order_extension,2022-12-31,20260910,722,6,0.3943495654922123,1.2712626090705115e-12,0.010115328703208845,
rolling3_learned_order_offset_2022-12-31_20260910,rolling3,learned_order_offset,2022-12-31,20260910,722,3,0.3944457405571374,6.505213034913027e-19,0.06791526355884177,0.3855000582390197
rolling3_learned_market_2022-12-31_20260911,rolling3,learned_market,2022-12-31,20260911,722,6,0.4429673292267233,1.2324342935077226e-14,0.010078749789464072,
rolling3_learned_vol_interaction_2022-12-31_20260911,rolling3,learned_vol_interaction,2022-12-31,20260911,722,6,0.4413875192338395,2.698535839229521e-14,0.010077792086231455,
rolling3_learned_order_extension_2022-12-31_20260911,rolling3,learned_order_extension,2022-12-31,20260911,722,6,0.44138703324138673,2.4944889903677492e-14,0.010077778965940901,
rolling3_learned_order_offset_2022-12-31_20260911,rolling3,learned_order_offset,2022-12-31,20260911,722,2,0.44138711881953024,1.2277159811783372e-14,0.08573907845203646,0.4315119981449197
rolling3_learned_market_2022-12-31_20260912,rolling3,learned_market,2022-12-31,20260912,722,6,0.4322728348779179,3.585261428018516e-14,0.010106630130011434,
rolling3_learned_vol_interaction_2022-12-31_20260912,rolling3,learned_vol_interaction,2022-12-31,20260912,722,6,0.4317369604400082,3.791606785485957e-14,0.01010394849823399,
rolling3_learned_order_extension_2022-12-31_20260912,rolling3,learned_order_extension,2022-12-31,20260912,722,6,0.4307619175672949,5.2972817105034764e-14,0.01010147181776385,
rolling3_learned_order_offset_2022-12-31_20260912,rolling3,learned_order_offset,2022-12-31,20260912,722,2,0.4309224473073371,1.7610739255768948e-12,0.08405782374115912,0.42233842542961775
rolling3_learned_market_2023-12-31_20260910,rolling3,learned_market,2023-12-31,20260910,721,6,0.39547418658032124,5.429684479807406e-16,0.01017610601439719,
rolling3_learned_vol_interaction_2023-12-31_20260910,rolling3,learned_vol_interaction,2023-12-31,20260910,721,6,0.39544145301519423,5.880712583561376e-16,0.010175619645129776,
rolling3_learned_order_extension_2023-12-31_20260910,rolling3,learned_order_extension,2023-12-31,20260910,721,6,0.3945137563569797,1.4678796372846747e-14,0.010176411233997363,
rolling3_learned_order_offset_2023-12-31_20260910,rolling3,learned_order_offset,2023-12-31,20260910,721,3,0.39457645123979773,3.469446951953614e-18,0.06872916838846603,0.3864688056956432
rolling3_learned_market_2023-12-31_20260911,rolling3,learned_market,2023-12-31,20260911,721,6,0.3783907660437062,7.173515254033092e-15,0.010086134657084448,
rolling3_learned_vol_interaction_2023-12-31_20260911,rolling3,learned_vol_interaction,2023-12-31,20260911,721,6,0.37651763550592465,1.0244409487381034e-14,0.010085022434089038,
rolling3_learned_order_extension_2023-12-31_20260911,rolling3,learned_order_extension,2023-12-31,20260911,721,6,0.3746705346425989,1.516477915464165e-13,0.01008468833573429,
rolling3_learned_order_offset_2023-12-31_20260911,rolling3,learned_order_offset,2023-12-31,20260911,721,3,0.3749214349630303,3.6421386739871053e-14,0.07105817130909019,0.3661218939688267
rolling3_learned_market_2023-12-31_20260912,rolling3,learned_market,2023-12-31,20260912,721,6,0.40975833371637016,2.662800535624399e-16,0.01012095647703839,
rolling3_learned_vol_interaction_2023-12-31_20260912,rolling3,learned_vol_interaction,2023-12-31,20260912,721,6,0.4097568987409774,2.636779683484747e-16,0.01012064266786838,
rolling3_learned_order_extension_2023-12-31_20260912,rolling3,learned_order_extension,2023-12-31,20260912,721,6,0.40957857747806314,3.567241987911807e-15,0.010120459668302407,
rolling3_learned_order_offset_2023-12-31_20260912,rolling3,learned_order_offset,2023-12-31,20260912,721,3,0.40959442501146875,8.673617379884035e-19,0.079341698899702,0.40045842857896835
rolling3_learned_market_2024-12-31_20260910,rolling3,learned_market,2024-12-31,20260910,720,6,0.42368059284193643,3.428097649499362e-13,0.01011204618612027,
rolling3_learned_vol_interaction_2024-12-31_20260910,rolling3,learned_vol_interaction,2024-12-31,20260910,720,6,0.4230557980142101,3.551697781364882e-13,0.010111099850065615,
rolling3_learned_order_extension_2024-12-31_20260910,rolling3,learned_order_extension,2024-12-31,20260910,720,6,0.4230456642575137,4.566809170408748e-13,0.010107620432767698,
