cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_high,learned_vol_interaction,13,False,insufficient_history,0,0,0,,,
2021-11-30,2021-08-19,insufficient_history,state,negative_low,learned_order_extension,2,False,insufficient_history,7,4,4,0.0,0.2814379077570135,0.2814379077570135
2021-11-30,2021-08-19,insufficient_history,state,negative_high,learned_order_extension,11,False,insufficient_history,5,3,3,0.0,0.2650411695475542,0.2650411695475542
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_low,learned_order_extension,4,False,insufficient_history,1,0,0,0.0,0.42249968558336093,0.42249968558336093
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_high,learned_order_extension,13,False,insufficient_history,0,0,0,,,
2021-11-30,2021-08-19,insufficient_history,state,negative_low,learned_order_offset,2,False,insufficient_history,7,4,4,0.0,0.2815190308644961,0.2815190308644961
2021-11-30,2021-08-19,insufficient_history,state,negative_high,learned_order_offset,11,False,insufficient_history,5,3,3,0.0,0.26472441020419885,0.26472441020419885
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_low,learned_order_offset,4,False,insufficient_history,1,0,0,0.0,0.42234971022297485,0.42234971022297485
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_high,learned_order_offset,13,False,insufficient_history,0,0,0,,,
2021-12-31,2021-09-16,annual_reset,state,negative_low,learned_market,2,False,annual_reset,8,5,5,0.0,0.25399220515200654,0.25399220515200654
2021-12-31,2021-09-16,annual_reset,state,negative_high,learned_market,15,False,annual_reset,1,1,1,0.0,0.10933744304140738,0.10933744304140738
2021-12-31,2021-09-16,annual_reset,state,nonnegative_low,learned_market,4,False,annual_reset,4,1,1,0.0,0.36797851245710667,0.36797851245710667
2021-12-31,2021-09-16,annual_reset,state,nonnegative_high,learned_market,13,False,annual_reset,0,0,0,,,
2021-12-31,2021-09-16,annual_reset,state,negative_low,learned_vol_interaction,2,False,annual_reset,8,5,5,0.0,0.2549549294129749,0.2549549294129749
2021-12-31,2021-09-16,annual_reset,state,negative_high,learned_vol_interaction,15,False,annual_reset,1,1,1,0.0,0.10417354528305042,0.10417354528305042
