cutoff,row_index,date,actual_return,actual_up,training_frequency
2018-12-31,2158,2019-12-13,0.0110761047772312,1,0.5111920874544508
2018-12-31,2163,2019-12-20,0.0002067407446153,1,0.5111920874544508
2018-12-31,2168,2019-12-27,0.0261485436506356,1,0.5111920874544508
2019-12-31,2172,2020-01-03,0.0112631415452417,1,0.5214780600461894
2019-12-31,2177,2020-01-10,0.000914342213572,1,0.5214780600461894
2019-12-31,2182,2020-01-17,-0.0715388636069378,0,0.5214780600461894
2019-12-31,2191,2020-02-07,0.0328687599583719,1,0.5214780600461894
2019-12-31,2196,2020-02-14,0.0330503919092921,1,0.5214780600461894
2019-12-31,2201,2020-02-21,-0.0394497366790582,0,0.5214780600461894
2019-12-31,2206,2020-02-28,0.0237449733423367,1,0.5214780600461894
2019-12-31,2211,2020-03-06,-0.040171495515717,0,0.5214780600461894
2019-12-31,2216,2020-03-13,-0.0915879031554979,0,0.5214780600461894
2019-12-31,2221,2020-03-20,0.0323992006051916,1,0.5214780600461894
2019-12-31,2226,2020-03-27,0.0334795185729988,1,0.5214780600461894
2019-12-31,2231,2020-04-03,-0.0074604950911528,0,0.5214780600461894
2019-12-31,2235,2020-04-10,0.0249886051960306,1,0.5214780600461894
2019-12-31,2240,2020-04-17,-0.009736156402615,0,0.5214780600461894
2019-12-31,2245,2020-04-24,0.0437865347345864,1,0.5214780600461894
2019-12-31,2252,2020-05-08,-0.0151204097857481,0,0.5214780600461894
2019-12-31,2257,2020-05-15,-0.022055555271722,0,0.5214780600461894
2019-12-31,2262,2020-05-22,0.0191755130187654,1,0.5214780600461894
2019-12-31,2267,2020-05-29,0.0312374254497365,1,0.5214780600461894
2019-12-31,2272,2020-06-05,-0.010100382492339,0,0.5214780600461894
2019-12-31,2277,2020-06-12,0.0287574347785699,1,0.5214780600461894
2019-12-31,2282,2020-06-19,0.0898838562932122,1,0.5214780600461894
2019-12-31,2290,2020-07-03,0.0619282952028859,1,0.5214780600461894
2019-12-31,2295,2020-07-10,-0.0306112766401609,0,0.5214780600461894
2019-12-31,2300,2020-07-17,-0.0135277995301487,0,0.5214780600461894
2019-12-31,2305,2020-07-24,0.0442975869953978,1,0.5214780600461894
2019-12-31,2310,2020-07-31,-0.0114318292193668,0,0.5214780600461894
2019-12-31,2315,2020-08-07,0.0096886640921363,1,0.5214780600461894
2019-12-31,2320,2020-08-14,0.0040785933083991,1,0.5214780600461894
2019-12-31,2325,2020-08-21,0.0262367267824037,1,0.5214780600461894
2019-12-31,2330,2020-08-28,-0.0228724288790846,0,0.5214780600461894
2019-12-31,2335,2020-09-04,-0.0225800080680405,0,0.5214780600461894
2019-12-31,2340,2020-09-11,0.0212164529615974,1,0.5214780600461894
2019-12-31,2345,2020-09-18,-0.035383886754723,0,0.5214780600461894
2019-12-31,2350,2020-09-25,0.0267399866889246,1,0.5214780600461894
2019-12-31,2354,2020-10-09,0.0251424490828213,1,0.5214780600461894
2019-12-31,2359,2020-10-16,-0.0289085288867603,0,0.5214780600461894
2019-12-31,2364,2020-10-23,0.0039922716452642,1,0.5214780600461894
2019-12-31,2369,2020-10-30,0.0459539631066927,1,0.5214780600461894
2019-12-31,2374,2020-11-06,-0.0077050373460516,0,0.5214780600461894
2019-12-31,2379,2020-11-13,0.0150871959614502,1,0.5214780600461894
2019-12-31,2384,2020-11-20,0.0079744076212002,1,0.5214780600461894
2019-12-31,2389,2020-11-27,0.0143408935726285,1,0.5214780600461894
2019-12-31,2394,2020-12-04,-0.0319993367194855,0,0.5214780600461894
2019-12-31,2399,2020-12-11,0.018788122268605,1,0.5214780600461894
2019-12-31,2404,2020-12-18,0.0094440085192242,1,0.5214780600461894
