task,seed,epoch,method,scheme,gradient_inf,curvature_min
h1_bce_5y_2022-12-31,20260911,20,order_fixed,U,3.2526065174565133e-18,0.24479973037682856
h1_bce_5y_2022-12-31,20260911,20,order_fixed,W,3.2526065174565133e-18,0.25648177303948605
h1_bce_5y_2022-12-31,20260912,10,add,U,1.812977719339859e-11,0.015476001159557641
h1_bce_5y_2022-12-31,20260912,10,add,W,9.016577718831686e-11,0.015455017980702132
h1_bce_5y_2022-12-31,20260912,10,vol,U,8.476359805026368e-11,0.01546973736926323
h1_bce_5y_2022-12-31,20260912,10,vol,W,1.60513559631099e-10,0.01545163273928021
h1_bce_5y_2022-12-31,20260912,10,order_joint,U,7.351592325351153e-10,0.015459594704707128
h1_bce_5y_2022-12-31,20260912,10,order_joint,W,6.657001339060997e-17,0.01544090907177297
h1_bce_5y_2022-12-31,20260912,10,order_fixed,U,1.3010426069826053e-18,0.23556009226121088
h1_bce_5y_2022-12-31,20260912,10,order_fixed,W,1.1191151304268399e-11,0.22862659639717675
h1_bce_5y_2022-12-31,20260912,20,add,U,1.8771726360833352e-11,0.010822206073997712
h1_bce_5y_2022-12-31,20260912,20,add,W,1.2660503157999048e-10,0.010803333640721715
h1_bce_5y_2022-12-31,20260912,20,vol,U,2.0042990487786905e-11,0.010822235227666416
h1_bce_5y_2022-12-31,20260912,20,vol,W,2.2271907515675812e-10,0.010803172193277187
h1_bce_5y_2022-12-31,20260912,20,order_joint,U,9.80998844006889e-10,0.010819276175858745
h1_bce_5y_2022-12-31,20260912,20,order_joint,W,2.3830763751231387e-16,0.010799360323342888
h1_bce_5y_2022-12-31,20260912,20,order_fixed,U,7.659671616595809e-11,0.23695144728004722
h1_bce_5y_2022-12-31,20260912,20,order_fixed,W,1.2566797212218428e-11,0.23892055330344356
h1_bce_5y_2023-12-31,20260910,10,add,U,3.433513239350927e-12,0.022750840913662557
h1_bce_5y_2023-12-31,20260910,10,add,W,1.6083660878823958e-11,0.022421705143074195
h1_bce_5y_2023-12-31,20260910,10,vol,U,1.1281905162689732e-10,0.022749725254391197
h1_bce_5y_2023-12-31,20260910,10,vol,W,1.0167094531728094e-10,0.02236313373707983
h1_bce_5y_2023-12-31,20260910,10,order_joint,U,9.650003929620454e-11,0.022751972206953904
h1_bce_5y_2023-12-31,20260910,10,order_joint,W,9.529216922921774e-11,0.0223597611540398
h1_bce_5y_2023-12-31,20260910,10,order_fixed,U,1.6126604717413284e-12,0.24873613099557784
h1_bce_5y_2023-12-31,20260910,10,order_fixed,W,1.9426219530563338e-14,0.25620320908492644
h1_bce_5y_2023-12-31,20260910,20,add,U,8.409213429760864e-12,0.014972112192314185
h1_bce_5y_2023-12-31,20260910,20,add,W,6.951441440701533e-11,0.015206995900235937
