h,method,state,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
5,mse_5y_e20.order_joint.I,3,330,189,0.5727272727272728,0.562218045112782,0.5947368421052631,0.2488829784428506,0.6934583747208449,0.5757575757575758,0.5787878787878787,0.49771255791715757,0.11936195063886086,0.17429202419673553,0.7659635425050649
5,mse_5y_e20.order_joint.S,0,212,102,0.4811320754716981,0.47938006591253224,0.4575576734657522,0.2732572181880645,0.7434634232948795,0.4858490566037736,0.4386792452830189,0.4872162686255603,0.1141604527392073,0.2195995208672644,0.7467321882253831
5,mse_5y_e20.order_joint.S,1,113,55,0.48672566371681414,0.43925382653061223,0.24744897959183673,0.3188048677737159,0.8527423146810064,0.5663716814159292,0.8495575221238938,0.6228153331607207,0.1374774927776537,0.29765434558372406,0.848730816531523
5,mse_5y_e20.order_joint.S,2,238,134,0.5630252100840336,0.5319794753197947,0.5035773650357737,0.2577249730722955,0.7109192877408942,0.42436974789915966,0.28991596638655465,0.4565816989108779,0.11466278617184367,0.23006324332830075,0.794859410991954
5,mse_5y_e20.order_joint.S,3,330,183,0.5545454545454546,0.5398496240601504,0.5775563909774436,0.2474550233990776,0.6891811029400683,0.5757575757575758,0.603030303030303,0.5071749795314036,0.11074020299347204,0.19358348095400837,0.7747460902343616
5,mse_5y_e20.order_fixed.U,0,212,108,0.5094339622641509,0.5071702146610849,0.48801995190166564,0.26480752644147554,0.7253322658341546,0.4858490566037736,0.419811320754717,0.48874138272995443,0.10318873599141701,0.2354166011319446,0.7405570305375454
5,mse_5y_e20.order_fixed.U,1,113,56,0.49557522123893805,0.44706632653061223,0.22417091836734693,0.32077178229552755,0.8581596327611573,0.5663716814159292,0.8584070796460177,0.6088108096100078,0.140846466560317,0.24804463710385785,0.8485484561858868
5,mse_5y_e20.order_fixed.U,2,238,124,0.5210084033613446,0.5019874250198743,0.47727108477271085,0.2668467764331307,0.7303517600726254,0.42436974789915966,0.3739495798319328,0.4838432066895343,0.11459351579295389,0.2478648905237237,0.8162023559454532
5,mse_5y_e20.order_fixed.U,3,330,193,0.5848484848484848,0.5821428571428571,0.5971052631578947,0.2485958997351588,0.6928144964170917,0.5757575757575758,0.5303030303030303,0.4927023874561633,0.11510516118523001,0.17662196735742272,0.7668627909725583
5,mse_5y_e20.order_fixed.W,0,212,106,0.5,0.49772868976574325,0.4650396365903625,0.2701557096610528,0.7366899085248817,0.4858490566037736,0.419811320754717,0.48300884426130025,0.10873404806259199,0.2285404034066865,0.7350285513357115
5,mse_5y_e20.order_fixed.W,1,113,54,0.4778761061946903,0.43144132653061223,0.2372448979591837,0.3236100163201386,0.8657689489561108,0.5663716814159292,0.8407079646017699,0.6191259054913709,0.14207281834922084,0.28522896585385366,0.8593615535138327
5,mse_5y_e20.order_fixed.W,2,238,134,0.5630252100840336,0.528076895280769,0.49512177495121773,0.2585884263961384,0.7128544356939553,0.42436974789915966,0.2647058823529412,0.450411307763284,0.11359572257634115,0.2204456308679811,0.7861347784656366
5,mse_5y_e20.order_fixed.W,3,330,183,0.5545454545454546,0.5389097744360902,0.5758646616541353,0.24767210362019468,0.6895780232641568,0.5757575757575758,0.6090909090909091,0.5095780855630534,0.11499267341109132,0.19158808374160055,0.771765388912951
5,mse_5y_e20.order_fixed.I,0,212,109,0.5141509433962265,0.5114901576556515,0.49799590273447936,0.2628146125382913,0.7210961536148935,0.4858490566037736,0.4056603773584906,0.4838542753894962,0.10090757714235489,0.23476841963668585,0.7293972513398678
5,mse_5y_e20.order_fixed.I,1,113,57,0.504424778761062,0.4596619897959184,0.22002551020408162,0.3247116412968808,0.8685356461521982,0.5663716814159292,0.831858407079646,0.6045213621533571,0.1448763753731831,0.2376699832369842,0.8558391033970376
5,mse_5y_e20.order_fixed.I,2,238,126,0.5294117647058824,0.5079858350798583,0.47235672472356727,0.2665868038514697,0.7296001726763351,0.42436974789915966,0.35714285714285715,0.47839628474914997,0.11382574434338134,0.24610309081831802,0.8070503447384847
5,mse_5y_e20.order_fixed.I,3,330,189,0.5727272727272728,0.562218045112782,0.5949248120300752,0.24885914104939755,0.6934037042367227,0.5757575757575758,0.5787878787878787,0.4969623629189536,0.11902978612917703,0.17405553593482195,0.7656306525243557
5,mse_5y_e20.order_fixed.S,0,212,104,0.49056603773584906,0.4885543778391378,0.4583593123719604,0.2723388547920124,0.741379686118685,0.4858490566037736,0.42924528301886794,0.48778388546653956,0.11171319277121147,0.22923945669425347,0.744975206934181
5,mse_5y_e20.order_fixed.S,1,113,55,0.48672566371681414,0.43925382653061223,0.24266581632653061,0.31992643301267654,0.8559124296815898,0.5663716814159292,0.8495575221238938,0.6234335218649594,0.13800958484031206,0.29703441889214616,0.8524529633571915
5,mse_5y_e20.order_fixed.S,2,238,132,0.5546218487394958,0.5207776252077763,0.4959890149598902,0.2586235835007895,0.7127964049119259,0.42436974789915966,0.27310924369747897,0.45581026634019983,0.11448034173761418,0.2308828485354445,0.7958984463863574
5,mse_5y_e20.order_fixed.S,3,330,185,0.5606060606060606,0.5479323308270676,0.5807518796992481,0.24695568790756994,0.6881467566459424,0.5757575757575758,0.5909090909090909,0.5053887494027487,0.10964033019162053,0.193335212574681,0.7728687812327459
5,mse_5y_e20.scalar_probe.U,0,212,115,0.5424528301886793,0.5398147323416763,0.5442237463258217,0.25041744017536816,0.6940879290068491,0.4858490566037736,0.4056603773584906,0.48874977012797644,0.08458101451190782,0.34401695753146383,0.7066783644344956
5,mse_5y_e20.scalar_probe.U,1,113,59,0.5221238938053098,0.48007015306122447,0.296875,0.27078910841275994,0.7362750350194173,0.5663716814159292,0.8141592920353983,0.5544680853589101,0.06917403374471587,0.3878812347632614,0.6678701816010909
5,mse_5y_e20.scalar_probe.U,2,238,119,0.5,0.49414612994146134,0.44019657440196575,0.269796657018669,0.7350367872518984,0.42436974789915966,0.46218487394957986,0.5004379163415323,0.102379412640334,0.2807253861800168,0.7273135327964017
5,mse_5y_e20.scalar_probe.U,3,330,165,0.5,0.5328947368421053,0.5653007518796993,0.2604557997984323,0.7151818373083295,0.5757575757575758,0.2878787878787879,0.4496179779658802,0.08966458762033956,0.27564300605938385,0.6593247976753106
5,frequency_5y,0,212,109,0.5141509433962265,0.5,0.37280662688162464,0.2505311392694776,0.6942098001190712,0.4858490566037736,0.0,0.4952174017327412,0.0045674872356881065,0.4855012427506214,0.498046875
5,frequency_5y,1,113,49,0.4336283185840708,0.5,0.4102359693877551,0.2509122626503841,0.6949721009062897,0.5663716814159292,0.0,0.4957137520999887,0.004905389610093459,0.4855012427506214,0.4987572493786247
5,frequency_5y,2,238,137,0.5756302521008403,0.5,0.5224398352243983,0.24940741561802213,0.6919619041759012,0.42436974789915966,0.0,0.49482649150547725,0.004955691693207052,0.4855012427506214,0.498046875
5,frequency_5y,3,330,140,0.42424242424242425,0.5,0.491203007518797,0.2513158620880537,0.69577961629618,0.5757575757575758,0.0,0.4932769951532819,0.006363583167616335,0.4855012427506214,0.4987572493786247
