period,method,case,group,n,mean_probability_contribution,mean_signed_contribution,mean_signed_coefficient,mean_signed_transform
extension_2021_2023,learned_order_offset,regression,intercept,13,-0.00859007378913995,-0.009310555528721724,-0.009310555528721724,0.0
extension_2021_2023,learned_order_offset,regression,decoded,13,0.0261869171618659,-0.01609881464978458,-0.01781786039301338,0.0017190457432288001
extension_2021_2023,learned_order_offset,regression,market,13,-0.0032142499548820625,-0.021867104774981123,-0.01980363975649997,-0.0020634650184811493
extension_2021_2023,learned_order_offset,regression,vol,13,0.003320168757434089,-0.003874934930894227,-0.0020546036306638344,-0.0018203313002303936
extension_2021_2023,learned_order_offset,regression,order,13,0.0018886841060405295,-0.004129648201180775,-0.007300098242993352,0.0031704500418125764
extension_2021_2023,learned_order_offset,recovery,intercept,9,0.001093949589825433,0.008651848899016257,0.008651848899016257,0.0
extension_2021_2023,learned_order_offset,recovery,decoded,9,-0.015117368479336233,0.030945747761532225,0.033133143887118396,-0.0021873961255861707
extension_2021_2023,learned_order_offset,recovery,market,9,0.015997219794798866,0.02818752757262773,0.025480217350632474,0.0027073102219952604
extension_2021_2023,learned_order_offset,recovery,vol,9,0.0006679226773439048,0.0037915873092645397,0.003019436989429787,0.000772150319834752
extension_2021_2023,learned_order_offset,recovery,order,9,-0.011589139154933377,0.025617940520685268,0.026078440680657802,-0.00046050015997253096
extension_2021_2023,learned_order_offset,stable_correct,intercept,55,-0.004155694285645289,-0.002175471101182875,-0.002175471101182875,0.0
extension_2021_2023,learned_order_offset,stable_correct,decoded,55,0.003368962531847218,-0.00800745971559509,-0.00860195194586403,0.0005944922302689409
extension_2021_2023,learned_order_offset,stable_correct,market,55,-0.0007774395271284911,-0.006665501227047243,-0.006633840577708272,-3.166064933897058e-05
extension_2021_2023,learned_order_offset,stable_correct,vol,55,0.00289984967815622,0.001852641806152685,0.0006734347595423971,0.0011792070466102877
extension_2021_2023,learned_order_offset,stable_correct,order,55,-0.001975305819856666,-0.004655579588198121,-0.005359032494716435,0.0007034529065183145
extension_2021_2023,learned_order_offset,stable_wrong,intercept,70,-0.007037231662784188,0.0024510067246634694,0.0024510067246634694,0.0
