head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2021-06-30,2020-12-31,20260910,vol,residual_sd,1,0.40093881821854543,0.4389113069224678,0.03797248870392239,0.03797248870392239,0.09048851567326988
2021-06-30,2020-12-31,20260910,order,ray,25,0.6494616540667225,0.7161625526981574,0.32979775931345895,0.1334654697487941,
2021-06-30,2020-12-31,20260910,order,projection,31,0.21362084990056276,0.21907194951082998,0.07057290873820572,0.03219776478106229,
2021-06-30,2020-12-31,20260910,order,residual_mean,1,1.0076281576630959e-17,1.2249154858467636e-17,2.172873281836677e-18,2.172873281836677e-18,
2021-06-30,2020-12-31,20260910,order,residual_sd,1,0.036108380299244736,0.036388516805057405,0.0002801365058126698,0.0002801365058126698,0.0077282728307396685
2021-06-30,2020-12-31,20260911,rep,lower,25,6.992691591935535,6.97890459560988,0.09113533655283186,0.05357022881507856,
2021-06-30,2020-12-31,20260911,rep,upper,25,4.208350909662475,4.203416229570493,0.02465740770877871,0.01402762770652817,
2021-06-30,2020-12-31,20260911,rep,mean,25,2.427472714836193,2.4518643776862095,0.1123769100118398,0.05226075327698987,
2021-06-30,2020-12-31,20260911,rep,sd,25,3.442420269733136,3.3968163214647147,0.07598311922076181,0.035064215506218854,0.04760320470570241
2021-06-30,2020-12-31,20260911,market,lower,4,1.7581780932364166,1.7105181803891967,0.05086018004735654,0.03964194739361637,
2021-06-30,2020-12-31,20260911,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-06-30,2020-12-31,20260911,market,mean,4,0.31883295672664425,0.3977875268486084,0.07939219083642787,0.07900968190429747,
2021-06-30,2020-12-31,20260911,market,sd,4,1.0005765385727114,0.9943308020876142,0.009983930258976408,0.009594126366031241,0.1434708777953645
2021-06-30,2020-12-31,20260911,vol,ray,25,0.932890435662049,0.8510628831707883,0.3785956618442094,0.15320784223492837,
2021-06-30,2020-12-31,20260911,vol,projection,30,2.296883079374309,1.8418527461130163,1.1152704033839154,0.46799845125460826,
2021-06-30,2020-12-31,20260911,vol,residual_mean,1,2.696779360145595e-16,2.4810273211458044e-16,5.177806681291399e-16,5.177806681291399e-16,
2021-06-30,2020-12-31,20260911,vol,residual_sd,1,0.5409159482377265,0.4431719710018113,0.09774397723591516,0.09774397723591516,0.19930601196647046
2021-06-30,2020-12-31,20260911,order,ray,25,0.932890435662049,0.8510628831707883,0.3785956618442094,0.15320784223492837,
2021-06-30,2020-12-31,20260911,order,projection,31,0.14950397294069787,0.1902615246793317,0.1601300262018137,0.1034709617144527,
2021-06-30,2020-12-31,20260911,order,residual_mean,1,5.862563826403467e-18,1.6607468384888706e-17,2.2470032211292173e-17,2.2470032211292173e-17,
2021-06-30,2020-12-31,20260911,order,residual_sd,1,0.05340044258146025,0.043491463623364326,0.009908978958095921,0.009908978958095921,0.20525435368014305
2021-06-30,2020-12-31,20260912,rep,lower,25,3.213742639084841,3.210869749515233,0.0387636532629587,0.018344345688819895,
2021-06-30,2020-12-31,20260912,rep,upper,25,2.837164635855945,2.8406183394546254,0.025941907070904213,0.013539616465568782,
2021-06-30,2020-12-31,20260912,rep,mean,25,2.78341537756562,2.7830664002278604,0.03308441187545725,0.015509322056945662,
2021-06-30,2020-12-31,20260912,rep,sd,25,0.630153125094924,0.6231502798194315,0.010795521579572427,0.004036904649038747,0.030561114859564295
2021-06-30,2020-12-31,20260912,market,lower,4,1.7581780932364166,1.7105181803891967,0.05086018004735654,0.03964194739361637,
2021-06-30,2020-12-31,20260912,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-06-30,2020-12-31,20260912,market,mean,4,0.31883295672664425,0.3977875268486084,0.07939219083642787,0.07900968190429747,
2021-06-30,2020-12-31,20260912,market,sd,4,1.0005765385727114,0.9943308020876142,0.009983930258976408,0.009594126366031241,0.1434708777953645
2021-06-30,2020-12-31,20260912,vol,ray,25,0.5640461822485379,0.6671721543409924,0.41160538006075537,0.1669832801435549,
2021-06-30,2020-12-31,20260912,vol,projection,30,1.3396915136521625,1.6499891054935152,0.7151821486555019,0.32379625190620753,
2021-06-30,2020-12-31,20260912,vol,residual_mean,1,2.286399892297352e-16,5.872254014546283e-17,2.8736252937519804e-16,2.8736252937519804e-16,
2021-06-30,2020-12-31,20260912,vol,residual_sd,1,0.6084710998661973,0.5479011979816877,0.060569901884509614,0.060569901884509614,0.10485444220356344
2021-06-30,2020-12-31,20260912,order,ray,25,0.5640461822485379,0.6671721543409924,0.41160538006075537,0.1669832801435549,
2021-06-30,2020-12-31,20260912,order,projection,31,0.09317797457923405,0.07279520351127625,0.0823475224098922,0.03686203699098225,
2021-06-30,2020-12-31,20260912,order,residual_mean,1,0.0,1.486414297432028e-17,1.486414297432028e-17,1.486414297432028e-17,
2021-06-30,2020-12-31,20260912,order,residual_sd,1,0.0512530499144099,0.051289364557245705,3.6314642835807986e-05,3.6314642835807986e-05,0.0007082853381418909
2021-09-30,2020-12-31,20260910,rep,lower,25,3.699362534258915,3.695735084162657,0.030092743818056822,0.01578417420387268,
2021-09-30,2020-12-31,20260910,rep,upper,25,4.450433432246732,4.448868715872052,0.006936683605580212,0.0036191838979722224,
2021-09-30,2020-12-31,20260910,rep,mean,25,2.511178814824568,2.4658192031366504,0.0994332824431703,0.04904600871723469,
2021-09-30,2020-12-31,20260910,rep,sd,25,2.102431151479999,2.1002674415676346,0.029428065963343873,0.01502134019646395,0.0365220230351299
2021-09-30,2020-12-31,20260910,market,lower,4,1.7581780932364166,1.7004324482178996,0.06766959428768277,0.05969840927334924,
2021-09-30,2020-12-31,20260910,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-09-30,2020-12-31,20260910,market,mean,4,0.31883295672664425,0.35318823856656323,0.03873979925616174,0.03395103059769594,
2021-09-30,2020-12-31,20260910,market,sd,4,1.0005765385727114,1.0035249586463666,0.021626108231020544,0.01847936731882277,0.14730554127656043
2021-09-30,2020-12-31,20260910,vol,ray,25,0.6494616540667225,0.6836087531614998,0.43590446973216657,0.19747665367857198,
2021-09-30,2020-12-31,20260910,vol,projection,30,1.7050950983180369,1.8824779633355555,0.9189807427717214,0.3700119792184152,
2021-09-30,2020-12-31,20260910,vol,residual_mean,1,3.136471647125855e-16,1.6765285211529637e-15,1.990175685865549e-15,1.990175685865549e-15,
2021-09-30,2020-12-31,20260910,vol,residual_sd,1,0.40093881821854543,0.45147548232045925,0.05053666410191382,0.05053666410191382,0.11871222601432042
2021-09-30,2020-12-31,20260910,order,ray,25,0.6494616540667225,0.6836087531614998,0.43590446973216657,0.19747665367857198,
2021-09-30,2020-12-31,20260910,order,projection,31,0.21362084990056276,0.21939651188262557,0.10946244035508756,0.05958430347227629,
2021-09-30,2020-12-31,20260910,order,residual_mean,1,1.0076281576630959e-17,1.6699222353865992e-17,2.677550393049695e-17,2.677550393049695e-17,
2021-09-30,2020-12-31,20260910,order,residual_sd,1,0.036108380299244736,0.03673809139355378,0.0006297110943090448,0.0006297110943090448,0.017289149780974216
2021-09-30,2020-12-31,20260911,rep,lower,25,6.992691591935535,6.99420324737006,0.07906736745845624,0.03911881804466244,
2021-09-30,2020-12-31,20260911,rep,upper,25,4.208350909662475,4.21141736117171,0.04589396004944794,0.02187861561775245,
2021-09-30,2020-12-31,20260911,rep,mean,25,2.427472714836193,2.3629891867432136,0.11325214403688207,0.05170461844441088,
2021-09-30,2020-12-31,20260911,rep,sd,25,3.442420269733136,3.435590656382653,0.05375951737491722,0.024525453716101042,0.03278833970242718
2021-09-30,2020-12-31,20260911,market,lower,4,1.7581780932364166,1.7004324482178996,0.06766959428768277,0.05969840927334924,
2021-09-30,2020-12-31,20260911,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-09-30,2020-12-31,20260911,market,mean,4,0.31883295672664425,0.35318823856656323,0.03873979925616174,0.03395103059769594,
2021-09-30,2020-12-31,20260911,market,sd,4,1.0005765385727114,1.0035249586463666,0.021626108231020544,0.01847936731882277,0.14730554127656043
2021-09-30,2020-12-31,20260911,vol,ray,25,0.932890435662049,0.8721355191493786,0.5352339405579665,0.26189095237155835,
2021-09-30,2020-12-31,20260911,vol,projection,30,2.296883079374309,1.858146997828859,1.0557127570534022,0.5240452651687878,
2021-09-30,2020-12-31,20260911,vol,residual_mean,1,2.696779360145595e-16,6.019060364909939e-17,2.0948733236546008e-16,2.0948733236546008e-16,
2021-09-30,2020-12-31,20260911,vol,residual_sd,1,0.5409159482377265,0.43344983469761483,0.10746611354011165,0.10746611354011165,0.2214878351250225
2021-09-30,2020-12-31,20260911,order,ray,25,0.932890435662049,0.8721355191493786,0.5352339405579665,0.26189095237155835,
2021-09-30,2020-12-31,20260911,order,projection,31,0.14950397294069787,0.16967463623138845,0.1430100297331373,0.11199925645401385,
2021-09-30,2020-12-31,20260911,order,residual_mean,1,5.862563826403467e-18,1.7066238229775133e-17,2.29288020561786e-17,2.29288020561786e-17,
2021-09-30,2020-12-31,20260911,order,residual_sd,1,0.05340044258146025,0.04437601680458247,0.00902442577687778,0.00902442577687778,0.18511987253498619
2021-09-30,2020-12-31,20260912,rep,lower,25,3.213742639084841,3.184762657958914,0.08648395479446198,0.05455616801977159,
