cutoff,year,method,seed,source,target,source_n,target_n,status,overall_delta,composition,within_state
2021-06-30,2021,learned_vol_interaction,20260912,daily,future,118,13,defined,-0.036377273637819216,0.00899657153089959,-0.045373845168718785
2021-06-30,2021,learned_vol_interaction,-1,daily,friday,118,24,defined,-0.03749426917888547,0.011187612885810275,-0.048681882064695745
2021-06-30,2021,learned_vol_interaction,-1,friday,future,24,13,defined,0.026260635642649008,-0.03365089994683674,0.059911535589485754
2021-06-30,2021,learned_vol_interaction,-1,daily,future,118,13,defined,-0.011233633536236465,0.009102537262204793,-0.020336170798441258
2021-06-30,2021,learned_order_extension,20260910,daily,friday,118,24,defined,-0.03594106079798662,0.010494028134465616,-0.04643508893245222
2021-06-30,2021,learned_order_extension,20260910,friday,future,24,13,defined,0.09278416697139323,-0.052744443286824025,0.14552861025821723
2021-06-30,2021,learned_order_extension,20260910,daily,future,118,13,defined,0.05684310617340661,-0.00944189073545082,0.06628499690885742
2021-06-30,2021,learned_order_extension,20260911,daily,friday,118,24,defined,-0.03213455828254871,0.012147258017038271,-0.04428181629958696
2021-06-30,2021,learned_order_extension,20260911,friday,future,24,13,defined,-0.014142314483773216,-0.029602258104060024,0.015459943620286826
2021-06-30,2021,learned_order_extension,20260911,daily,future,118,13,defined,-0.046276872766321926,0.024948823144108526,-0.07122569591043044
2021-06-30,2021,learned_order_extension,20260912,daily,friday,118,24,defined,-0.0433621486831664,0.01118480128468513,-0.054546949967851525
2021-06-30,2021,learned_order_extension,20260912,friday,future,24,13,defined,0.01004396265163858,-0.022855826442974868,0.03289978909461343
2021-06-30,2021,learned_order_extension,20260912,daily,future,118,13,defined,-0.03331818603152782,0.008928432122933677,-0.04224661815446152
2021-06-30,2021,learned_order_extension,-1,daily,friday,118,24,defined,-0.03714592258790056,0.011275362478729673,-0.04842128506663023
2021-06-30,2021,learned_order_extension,-1,friday,future,24,13,defined,0.029561938379752857,-0.03506750927795297,0.06462944765770584
2021-06-30,2021,learned_order_extension,-1,daily,future,118,13,defined,-0.007583984208147699,0.00814512151053047,-0.015729105718678173
2021-06-30,2021,learned_order_offset,20260910,daily,friday,118,24,defined,-0.03591386630290459,0.010497602595989787,-0.04641146889889439
2021-06-30,2021,learned_order_offset,20260910,friday,future,24,13,defined,0.09283890515556295,-0.05266507237255853,0.14550397752812147
2021-06-30,2021,learned_order_offset,20260910,daily,future,118,13,defined,0.05692503885265836,-0.009334037939333177,0.06625907679199153
2021-06-30,2021,learned_order_offset,20260911,daily,friday,118,24,defined,-0.03222212582166733,0.012126569103561208,-0.04434869492522853
2021-06-30,2021,learned_order_offset,20260911,friday,future,24,13,defined,-0.013376602238204683,-0.029300449234330107,0.015923846996125438
2021-06-30,2021,learned_order_offset,20260911,daily,future,118,13,defined,-0.045598728059872015,0.02523848591441632,-0.07083721397428833
2021-06-30,2021,learned_order_offset,20260912,daily,friday,118,24,defined,-0.043339293306011724,0.011184639675539145,-0.054523932981550866
2021-06-30,2021,learned_order_offset,20260912,friday,future,24,13,defined,0.010054846360195581,-0.022808419238688947,0.0328632655988845
2021-06-30,2021,learned_order_offset,20260912,daily,future,118,13,defined,-0.03328444694581614,0.008963837869871781,-0.04224828481568792
