cutoff,year,method,seed,state,daily_n,friday_n,future_n,daily_residual,friday_residual,future_residual,daily_friday,daily_future,friday_future,r37_eligible,weekly_count_flag,daily_auroc,friday_auroc,future_auroc
2021-03-31,2021,learned_order_extension,20260911,nonnegative_low,12,2,3,0.2764970534505334,-0.021527166967205413,-0.007660434838517786,opposite,opposite,same,False,False,0.9,1.0,1.0
2021-03-31,2021,learned_order_extension,20260911,nonnegative_high,42,8,1,-0.11824302978132482,-0.018038556438808417,-0.41641551181704617,same,same,same,True,False,0.3076923076923077,0.4666666666666667,
2021-03-31,2021,learned_order_extension,20260912,negative_low,0,0,2,,,-0.05597620285060623,undefined,undefined,undefined,False,False,,,1.0
2021-03-31,2021,learned_order_extension,20260912,negative_high,4,1,7,0.45968169573616113,0.5068141539868114,-0.16773664820573167,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_order_extension,20260912,nonnegative_low,12,2,3,0.3302986252352817,-0.06667107988655988,-0.03516760383019244,opposite,opposite,same,False,False,0.7,1.0,0.5
2021-03-31,2021,learned_order_extension,20260912,nonnegative_high,42,8,1,-0.1446704494840539,-0.07114755171780673,-0.3220408483503156,same,same,same,True,False,0.46419098143236076,0.4666666666666667,
2021-03-31,2021,learned_order_extension,-1,negative_low,0,0,2,,,-0.12840026796009557,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_extension,-1,negative_high,4,1,7,0.5039751340421808,0.4613151061059285,-0.17341715021410858,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_order_extension,-1,nonnegative_low,12,2,3,0.280567821940438,-0.06178116272115952,-0.0019464606995008849,opposite,opposite,same,False,False,0.95,1.0,1.0
2021-03-31,2021,learned_order_extension,-1,nonnegative_high,42,8,1,-0.1359966240048324,-0.05421811810964239,-0.39851382905877525,same,same,same,True,False,0.2917771883289125,0.4,
2021-03-31,2021,learned_order_offset,20260910,negative_low,0,0,2,,,-0.1726799080184947,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_offset,20260910,negative_high,4,1,7,0.455058964356141,0.40947743437616746,-0.23040219871265624,same,opposite,opposite,False,False,,,0.6666666666666666
2021-03-31,2021,learned_order_offset,20260910,nonnegative_low,12,2,3,0.23466104751516226,-0.09737985701298973,0.03671176314518565,opposite,same,opposite,False,False,0.9,1.0,0.0
2021-03-31,2021,learned_order_offset,20260910,nonnegative_high,42,8,1,-0.145324137689019,-0.07361831188302487,-0.45742240834197484,same,same,same,True,False,0.30238726790450926,0.4,
2021-03-31,2021,learned_order_offset,20260911,negative_low,0,0,2,,,-0.1556172052754322,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_offset,20260911,negative_high,4,1,7,0.5984183305969197,0.4687295125014297,-0.12117900057528354,same,opposite,opposite,False,False,,,0.3333333333333333
2021-03-31,2021,learned_order_offset,20260911,nonnegative_low,12,2,3,0.27625728085791823,-0.02179320365089102,-0.00875817647932751,opposite,opposite,same,False,False,0.9,1.0,1.0
2021-03-31,2021,learned_order_offset,20260911,nonnegative_high,42,8,1,-0.11756896324448003,-0.017399980591941505,-0.41739120526524837,same,same,same,True,False,0.3050397877984085,0.4666666666666667,
2021-03-31,2021,learned_order_offset,20260912,negative_low,0,0,2,,,-0.055657177694988985,undefined,undefined,undefined,False,False,,,1.0
2021-03-31,2021,learned_order_offset,20260912,negative_high,4,1,7,0.4597884461268411,0.506829779893469,-0.16735904856972378,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_order_offset,20260912,nonnegative_low,12,2,3,0.3304683448535324,-0.06642645673009229,-0.034945912764844454,opposite,opposite,same,False,False,0.7,1.0,0.5
2021-03-31,2021,learned_order_offset,20260912,nonnegative_high,42,8,1,-0.14447074317058414,-0.07090396816602498,-0.32211543056065006,same,same,same,True,False,0.46419098143236076,0.4666666666666667,
2021-03-31,2021,learned_order_offset,-1,negative_low,0,0,2,,,-0.127984763662972,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_offset,-1,negative_high,4,1,7,0.5044219136933007,0.4616789089236887,-0.17298008261922115,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_order_offset,-1,nonnegative_low,12,2,3,0.28046222440887103,-0.06186650579799102,-0.002330775366328789,opposite,opposite,same,False,False,0.95,1.0,1.0
2021-03-31,2021,learned_order_offset,-1,nonnegative_high,42,8,1,-0.13578794803469438,-0.05397408688033045,-0.3989763480559578,same,same,same,True,False,0.29442970822281167,0.4,
2021-06-30,2021,learned_market,20260910,negative_low,11,2,1,0.018269719452413444,-0.15024740459972913,0.2505001382712845,opposite,same,opposite,False,False,0.21428571428571427,0.0,
2021-06-30,2021,learned_market,20260910,negative_high,37,8,9,-0.00752294343108798,-0.13785859282366736,0.11762197249302837,same,opposite,opposite,True,False,0.6180124223602484,0.625,0.4444444444444444
2021-06-30,2021,learned_market,20260910,nonnegative_low,17,4,0,0.22675491511117882,0.025940012821075942,,same,undefined,undefined,False,False,0.7884615384615384,0.5,
2021-06-30,2021,learned_market,20260910,nonnegative_high,53,10,3,-0.17009024426005548,-0.06318027956892379,-0.38365392939710524,same,same,same,True,False,0.4831081081081081,0.625,
2021-06-30,2021,learned_market,20260911,negative_low,11,2,1,0.005387307012432043,-0.15638720682781154,0.35049711338862,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_market,20260911,negative_high,37,8,9,0.08947936208118608,-0.05626146295748925,0.020234838718932453,opposite,same,opposite,True,False,0.2577639751552795,0.375,0.2222222222222222
2021-06-30,2021,learned_market,20260911,nonnegative_low,17,4,0,0.26465095761709995,0.07008380585851863,,same,undefined,undefined,False,False,0.8461538461538461,0.75,
2021-06-30,2021,learned_market,20260911,nonnegative_high,53,10,3,-0.13253924507422965,-0.01526650262726691,-0.3334484493490886,same,same,same,True,False,0.4375,0.5416666666666666,
2021-06-30,2021,learned_market,20260912,negative_low,11,2,1,0.11986144604129728,-0.057999097127372085,0.5687329861901829,opposite,same,opposite,False,False,0.35714285714285715,1.0,
2021-06-30,2021,learned_market,20260912,negative_high,37,8,9,0.04366469636277859,-0.08217992595171955,0.06419725676048968,opposite,same,opposite,True,False,0.48757763975155277,0.3125,0.1111111111111111
2021-06-30,2021,learned_market,20260912,nonnegative_low,17,4,0,0.28008959476138984,0.008849777609819615,,same,undefined,undefined,False,False,0.75,0.5,
2021-06-30,2021,learned_market,20260912,nonnegative_high,53,10,3,-0.1596665352579279,-0.04579119657910347,-0.5754142621667317,same,same,same,True,False,0.5557432432432432,0.625,
2021-06-30,2021,learned_market,-1,negative_low,11,2,1,0.047839490835380964,-0.12154456951830422,0.3899100792833624,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_market,-1,negative_high,37,8,9,0.04187370500429221,-0.09209999391095872,0.06735135599081683,opposite,same,opposite,True,False,0.422360248447205,0.375,0.2222222222222222
2021-06-30,2021,learned_market,-1,nonnegative_low,17,4,0,0.2571651558298895,0.034957865429804724,,same,undefined,undefined,False,False,0.8653846153846154,0.75,
2021-06-30,2021,learned_market,-1,nonnegative_high,53,10,3,-0.154098674864071,-0.041412659591764746,-0.43083888030430856,same,same,same,True,False,0.46114864864864863,0.6666666666666666,
2021-06-30,2021,learned_vol_interaction,20260910,negative_low,11,2,1,0.005757462460838031,-0.16553876022920733,0.21691064049666675,opposite,same,opposite,False,False,0.32142857142857145,0.0,
2021-06-30,2021,learned_vol_interaction,20260910,negative_high,37,8,9,-0.020164769218712564,-0.14730239445985677,0.1008397309741885,same,opposite,opposite,True,False,0.5559006211180124,0.5625,0.4444444444444444
2021-06-30,2021,learned_vol_interaction,20260910,nonnegative_low,17,4,0,0.2460209302869344,0.05602730596385366,,same,undefined,undefined,False,False,0.8076923076923077,0.5,
2021-06-30,2021,learned_vol_interaction,20260910,nonnegative_high,53,10,3,-0.1652954628333335,-0.06493695411372359,-0.3433608221897648,same,same,same,True,False,0.40033783783783783,0.4583333333333333,
2021-06-30,2021,learned_vol_interaction,20260911,negative_low,11,2,1,0.011834905318730004,-0.14624174430769765,0.3543280387903931,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_vol_interaction,20260911,negative_high,37,8,9,0.09316108350338426,-0.05736912020106076,0.019219221770641517,opposite,same,opposite,True,False,0.2484472049689441,0.375,0.2222222222222222
2021-06-30,2021,learned_vol_interaction,20260911,nonnegative_low,17,4,0,0.26388459695603517,0.0655778401283825,,same,undefined,undefined,False,False,0.8461538461538461,0.75,
2021-06-30,2021,learned_vol_interaction,20260911,nonnegative_high,53,10,3,-0.12965142632504792,-0.006128568368102061,-0.3450729775002099,same,same,same,True,False,0.4358108108108108,0.5416666666666666,
2021-06-30,2021,learned_vol_interaction,20260912,negative_low,11,2,1,0.12126878461121694,-0.057277309345414695,0.5711539778222432,opposite,same,opposite,False,False,0.35714285714285715,1.0,
2021-06-30,2021,learned_vol_interaction,20260912,negative_high,37,8,9,0.04302811706795163,-0.08327889895735743,0.06508300399502953,opposite,same,opposite,True,False,0.48757763975155277,0.3125,0.1111111111111111
2021-06-30,2021,learned_vol_interaction,20260912,nonnegative_low,17,4,0,0.28000456052559375,0.008913552688456117,,same,undefined,undefined,False,False,0.75,0.5,
2021-06-30,2021,learned_vol_interaction,20260912,nonnegative_high,53,10,3,-0.1603406931443484,-0.04621138586022558,-0.573087080727039,same,same,same,True,False,0.5574324324324325,0.625,
2021-06-30,2021,learned_vol_interaction,-1,negative_low,11,2,1,0.046287050796928304,-0.12301927129410656,0.38079755236976764,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_vol_interaction,-1,negative_high,37,8,9,0.03867481045087443,-0.09598347120609164,0.06171398557995314,opposite,same,opposite,True,False,0.34782608695652173,0.3125,0.2222222222222222
2021-06-30,2021,learned_vol_interaction,-1,nonnegative_low,17,4,0,0.26330336258952114,0.04350623292689744,,same,undefined,undefined,False,False,0.8653846153846154,0.75,
2021-06-30,2021,learned_vol_interaction,-1,nonnegative_high,53,10,3,-0.15176252743424323,-0.03909230278068373,-0.42050696013900457,same,same,same,True,False,0.4560810810810811,0.5833333333333334,
2021-06-30,2021,learned_order_extension,20260910,negative_low,11,2,1,0.0033809100447995373,-0.17259305125526464,0.1896364093952555,opposite,same,opposite,False,False,0.32142857142857145,0.0,
2021-06-30,2021,learned_order_extension,20260910,negative_high,37,8,9,-0.022166117800372927,-0.15044702689909856,0.10453303643886042,same,opposite,opposite,True,False,0.5652173913043478,0.625,0.3888888888888889
2021-06-30,2021,learned_order_extension,20260910,nonnegative_low,17,4,0,0.25240255223186747,0.06806150944553975,,same,undefined,undefined,False,False,0.8076923076923077,0.5,
2021-06-30,2021,learned_order_extension,20260910,nonnegative_high,53,10,3,-0.16197056969611287,-0.06185884648047378,-0.31691821225891603,same,same,same,True,False,0.41216216216216217,0.5416666666666666,
2021-06-30,2021,learned_order_extension,20260911,negative_low,11,2,1,0.008823877627678394,-0.15663154977441585,0.3306920798374835,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_order_extension,20260911,negative_high,37,8,9,0.09873623847298295,-0.04836202969154951,0.013788941865662176,opposite,same,opposite,True,False,0.2453416149068323,0.375,0.2222222222222222
2021-06-30,2021,learned_order_extension,20260911,nonnegative_low,17,4,0,0.27509335803771645,0.08430460445067159,,same,undefined,undefined,False,False,0.8461538461538461,0.75,
2021-06-30,2021,learned_order_extension,20260911,nonnegative_high,53,10,3,-0.12514020661876624,-0.00433136429091222,-0.28623239981193754,same,same,same,True,False,0.4408783783783784,0.5416666666666666,
2021-06-30,2021,learned_order_extension,20260912,negative_low,11,2,1,0.1243785129189495,-0.05597620285060623,0.5840607411736085,opposite,same,opposite,False,False,0.35714285714285715,1.0,
2021-06-30,2021,learned_order_extension,20260912,negative_high,37,8,9,0.0430539818998741,-0.08341779793166379,0.0676297290579478,opposite,same,opposite,True,False,0.484472049689441,0.3125,0.1111111111111111
2021-06-30,2021,learned_order_extension,20260912,nonnegative_low,17,4,0,0.2807005055467225,0.011791856607948237,,same,undefined,undefined,False,False,0.75,0.5,
2021-06-30,2021,learned_order_extension,20260912,nonnegative_high,53,10,3,-0.16067500281060546,-0.046775856138797985,-0.5706983323723794,same,same,same,True,False,0.5574324324324325,0.625,
2021-06-30,2021,learned_order_extension,-1,negative_low,11,2,1,0.045527766863809147,-0.12840026796009557,0.36812974346878247,opposite,same,opposite,False,False,0.0,0.0,
2021-06-30,2021,learned_order_extension,-1,negative_high,37,8,9,0.03987470085749471,-0.09407561817410394,0.06198390245415681,opposite,same,opposite,True,False,0.32298136645962733,0.3125,0.2777777777777778
2021-06-30,2021,learned_order_extension,-1,nonnegative_low,17,4,0,0.26939880527210214,0.05471932350138657,,same,undefined,undefined,False,False,0.8653846153846154,0.75,
