cutoff,row_index,date,year,joint_completed,actual_return,actual_up,training_frequency,method,seed,score,probability,logit,direction_up
2018-12-31,2158,2019-12-13,2019,2019-12-23,0.0110761047772312,1,0.5111920874544508,learned_probe,20260911,0.4831464382843023,0.4831464382843023,-0.0674397956338105,False
2018-12-31,2163,2019-12-20,2019,2019-12-30,0.0002067407446153,1,0.5111920874544508,learned_probe,20260911,0.5020741314200919,0.5020741314200919,0.0082965732699641,True
2018-12-31,2168,2019-12-27,2019,2020-01-06,0.0261485436506356,1,0.5111920874544508,learned_probe,20260911,0.2695126167022975,0.2695126167022975,-0.9970967552423085,False
2018-12-31,1929,2019-01-04,2019,2019-01-14,0.0122252589889202,1,0.5111920874544508,learned_probe,20260912,0.5337758234503358,0.5337758234503358,0.1353093605361658,True
2018-12-31,1934,2019-01-11,2019,2019-01-21,0.0253451899757477,1,0.5111920874544508,learned_probe,20260912,0.4346638308598584,0.4346638308598584,-0.2628476141370725,False
2018-12-31,1939,2019-01-18,2019,2019-01-28,0.0101675244727015,1,0.5111920874544508,learned_probe,20260912,0.5584238820199661,0.5584238820199661,0.2347679063546885,True
2018-12-31,1944,2019-01-25,2019,2019-02-11,0.011454456904518,1,0.5111920874544508,learned_probe,20260912,0.5728725451139338,0.5728725451139338,0.2935807997322907,True
2018-12-31,1949,2019-02-01,2019,2019-02-18,0.0390794521900976,1,0.5111920874544508,learned_probe,20260912,0.6430392399515408,0.6430392399515408,0.5885798888309868,True
2018-12-31,1954,2019-02-15,2019,2019-02-25,0.0622114887625429,1,0.5111920874544508,learned_probe,20260912,0.7238672131753522,0.7238672131753522,0.963726106644654,True
2018-12-31,1959,2019-02-22,2019,2019-03-04,0.057941468462044,1,0.5111920874544508,learned_probe,20260912,0.7039663915571993,0.7039663915571993,0.8662576258380055,True
2018-12-31,1964,2019-03-01,2019,2019-03-11,-0.0314720436474369,0,0.5111920874544508,learned_probe,20260912,0.481974566231625,0.481974566231625,-0.0721329954890081,False
2018-12-31,1969,2019-03-08,2019,2019-03-18,0.0244706575909257,1,0.5111920874544508,learned_probe,20260912,0.4592748531837017,0.4592748531837017,-0.1632622636715683,False
2018-12-31,1974,2019-03-15,2019,2019-03-25,0.0060741040696496,1,0.5111920874544508,learned_probe,20260912,0.4891482539502759,0.4891482539502759,-0.0434138016237599,False
2018-12-31,1979,2019-03-22,2019,2019-04-01,0.0330284606666595,1,0.5111920874544508,learned_probe,20260912,0.3676859450596585,0.3676859450596585,-0.5421570294525885,False
2018-12-31,1984,2019-03-29,2019,2019-04-15,0.0398136969165658,1,0.5111920874544508,learned_probe,20260912,0.4623495782148454,0.4623495782148454,-0.1508873075744041,False
2018-12-31,1993,2019-04-12,2019,2019-04-22,0.0171281082906651,1,0.5111920874544508,learned_probe,20260912,0.5257367186707705,0.5257367186707705,0.1030379392474944,True
2018-12-31,1998,2019-04-19,2019,2019-04-29,-0.0555966233394814,0,0.5111920874544508,learned_probe,20260912,0.5991777498823341,0.5991777498823341,0.402040235977969,True
2018-12-31,2003,2019-04-26,2019,2019-05-13,-0.0566702082338871,0,0.5111920874544508,learned_probe,20260912,0.2875507087553097,0.2875507087553097,-0.9073095164632736,False
2018-12-31,2010,2019-05-10,2019,2019-05-20,-0.010887544344571,0,0.5111920874544508,learned_probe,20260912,0.3083886562530027,0.3083886562530027,-0.8076632974187558,False
2018-12-31,2015,2019-05-17,2019,2019-05-27,-0.011865534939242,0,0.5111920874544508,learned_probe,20260912,0.5987471730235294,0.5987471730235294,0.4002477074065123,True
2018-12-31,2020,2019-05-24,2019,2019-06-03,0.013363580693648,1,0.5111920874544508,learned_probe,20260912,0.6177405837211757,0.6177405837211757,0.4799691235604941,True
2018-12-31,2025,2019-05-31,2019,2019-06-17,0.0037988139350273,1,0.5111920874544508,learned_probe,20260912,0.8177115774145858,0.8177115774145858,1.5009195073963268,True
2018-12-31,2034,2019-06-14,2019,2019-06-24,0.0497668589441884,1,0.5111920874544508,learned_probe,20260912,0.7488516263511104,0.7488516263511104,1.092496973675802,True
2018-12-31,2039,2019-06-21,2019,2019-07-01,0.0164272438880068,1,0.5111920874544508,learned_probe,20260912,0.6258019937473731,0.6258019937473731,0.5142489313478509,True
2018-12-31,2044,2019-06-28,2019,2019-07-08,-0.0060471927228523,0,0.5111920874544508,learned_probe,20260912,0.6567187912529822,0.6567187912529822,0.6487059456098767,True
2018-12-31,2049,2019-07-05,2019,2019-07-15,-0.0214435915629233,0,0.5111920874544508,learned_probe,20260912,0.8019261902332908,0.8019261902332908,1.3983768336730893,True
2018-12-31,2054,2019-07-12,2019,2019-07-22,0.005500126560918,1,0.5111920874544508,learned_probe,20260912,0.6227695861176803,0.6227695861176803,0.5013204264978013,True
2018-12-31,2059,2019-07-19,2019,2019-07-29,0.011653336829684,1,0.5111920874544508,learned_probe,20260912,0.4486807439821916,0.4486807439821916,-0.2060024564357923,False
2018-12-31,2064,2019-07-26,2019,2019-08-05,-0.0346117357968243,0,0.5111920874544508,learned_probe,20260912,0.3797319447750615,0.3797319447750615,-0.4906861364249227,False
2018-12-31,2069,2019-08-02,2019,2019-08-12,-0.0205509060495487,0,0.5111920874544508,learned_probe,20260912,0.4021365234260013,0.4021365234260013,-0.3965707863658641,False
2018-12-31,2074,2019-08-09,2019,2019-08-19,0.024167527899843,1,0.5111920874544508,learned_probe,20260912,0.39096836643277,0.39096836643277,-0.4432435573726058,False
2018-12-31,2079,2019-08-16,2019,2019-08-26,0.0054416051262971,1,0.5111920874544508,learned_probe,20260912,0.3925838243141495,0.3925838243141495,-0.4364641037318645,False
2018-12-31,2084,2019-08-23,2019,2019-09-02,0.0125999637947373,1,0.5111920874544508,learned_probe,20260912,0.4541523545197999,0.4541523545197999,-0.1839071748358061,False
2018-12-31,2089,2019-08-30,2019,2019-09-09,0.0466047443403643,1,0.5111920874544508,learned_probe,20260912,0.5349548485261792,0.5349548485261792,0.1400478472391927,True
2018-12-31,2094,2019-09-06,2019,2019-09-23,-0.0140091837144809,0,0.5111920874544508,learned_probe,20260912,0.6338958518690044,0.6338958518690044,0.548966818785739,True
2018-12-31,2103,2019-09-20,2019,2019-09-30,-0.021176044981262,0,0.5111920874544508,learned_probe,20260912,0.2896631144602545,0.2896631144602545,-0.8970207707388879,False
2018-12-31,2108,2019-09-27,2019,2019-10-14,0.0267538071924768,1,0.5111920874544508,learned_probe,20260912,0.539104859475896,0.539104859475896,0.1567395402485216,True
2018-12-31,2113,2019-10-11,2019,2019-10-21,-0.0201578763251421,0,0.5111920874544508,learned_probe,20260912,0.6877779130281109,0.6877779130281109,0.7897512331853486,True
2018-12-31,2118,2019-10-18,2019,2019-10-28,0.0102552427470803,1,0.5111920874544508,learned_probe,20260912,0.4498899751328052,0.4498899751328052,-0.2011152502686601,False
2018-12-31,2123,2019-10-25,2019,2019-11-04,0.0151165947072713,1,0.5111920874544508,learned_probe,20260912,0.5984988065833797,0.5984988065833797,0.3992140252058394,True
2018-12-31,2128,2019-11-01,2019,2019-11-11,-0.0038824321835717,0,0.5111920874544508,learned_probe,20260912,0.6514137665993076,0.6514137665993076,0.6252593852824473,True
2018-12-31,2133,2019-11-08,2019,2019-11-18,-0.0187863101539271,0,0.5111920874544508,learned_probe,20260912,0.5702092031884239,0.5702092031884239,0.2827047453736939,True
2018-12-31,2138,2019-11-15,2019,2019-11-25,-0.0060576496216228,0,0.5111920874544508,learned_probe,20260912,0.3373949674140488,0.3373949674140488,-0.6749248308313048,False
2018-12-31,2143,2019-11-22,2019,2019-12-02,-0.0040145729517496,0,0.5111920874544508,learned_probe,20260912,0.3542035284422745,0.3542035284422745,-0.6006127076106815,False
2018-12-31,2148,2019-11-29,2019,2019-12-09,0.0192986069649145,1,0.5111920874544508,learned_probe,20260912,0.6100010023538703,0.6100010023538703,0.4473164313868127,True
2018-12-31,2153,2019-12-06,2019,2019-12-16,0.0156489398981463,1,0.5111920874544508,learned_probe,20260912,0.4428593039713424,0.4428593039713424,-0.2295656827906724,False
2018-12-31,2158,2019-12-13,2019,2019-12-23,0.0110761047772312,1,0.5111920874544508,learned_probe,20260912,0.4532711325247532,0.4532711325247532,-0.1874625346622024,False
2018-12-31,2163,2019-12-20,2019,2019-12-30,0.0002067407446153,1,0.5111920874544508,learned_probe,20260912,0.3355384550153978,0.3355384550153978,-0.6832404360167237,False
2018-12-31,2168,2019-12-27,2019,2020-01-06,0.0261485436506356,1,0.5111920874544508,learned_probe,20260912,0.6169125567879767,0.6169125567879767,0.4764640162854155,True
2019-12-31,2172,2020-01-03,2020,2020-01-13,0.0112631415452417,1,0.5214780600461894,learned_probe,20260910,0.395546875452553,0.395546875452553,-0.4240548206867274,False
2019-12-31,2177,2020-01-10,2020,2020-01-20,0.000914342213572,1,0.5214780600461894,learned_probe,20260910,0.7091398069499485,0.7091398069499485,0.8912099805500426,True
2019-12-31,2182,2020-01-17,2020,2020-02-10,-0.0715388636069378,0,0.5214780600461894,learned_probe,20260910,0.6105377630483723,0.6105377630483723,0.4495732395896565,True
2019-12-31,2191,2020-02-07,2020,2020-02-17,0.0328687599583719,1,0.5214780600461894,learned_probe,20260910,0.5880708643622651,0.5880708643622651,0.3559961245834668,True
2019-12-31,2196,2020-02-14,2020,2020-02-24,0.0330503919092921,1,0.5214780600461894,learned_probe,20260910,0.4089843663306153,0.4089843663306153,-0.3681655387837902,False
2019-12-31,2201,2020-02-21,2020,2020-03-02,-0.0394497366790582,0,0.5214780600461894,learned_probe,20260910,0.2947887686326845,0.2947887686326845,-0.8722383155676855,False
2019-12-31,2206,2020-02-28,2020,2020-03-09,0.0237449733423367,1,0.5214780600461894,learned_probe,20260910,0.5631831388767002,0.5631831388767002,0.2540908411632054,True
2019-12-31,2211,2020-03-06,2020,2020-03-16,-0.040171495515717,0,0.5214780600461894,learned_probe,20260910,0.4953402589661969,0.4953402589661969,-0.0186395037784071,False
2019-12-31,2216,2020-03-13,2020,2020-03-23,-0.0915879031554979,0,0.5214780600461894,learned_probe,20260910,0.4774218193595441,0.4774218193595441,-0.0903741832400672,False
2019-12-31,2221,2020-03-20,2020,2020-03-30,0.0323992006051916,1,0.5214780600461894,learned_probe,20260910,0.4344304928511112,0.4344304928511112,-0.2637972392475603,False
2019-12-31,2226,2020-03-27,2020,2020-04-07,0.0334795185729988,1,0.5214780600461894,learned_probe,20260910,0.6323825163242566,0.6323825163242566,0.5424515073706314,True
2019-12-31,2231,2020-04-03,2020,2020-04-13,-0.0074604950911528,0,0.5214780600461894,learned_probe,20260910,0.5383365072155407,0.5383365072155407,0.1536475876330985,True
2019-12-31,2235,2020-04-10,2020,2020-04-20,0.0249886051960306,1,0.5214780600461894,learned_probe,20260910,0.463353378507245,0.463353378507245,-0.1468498178709975,False
2019-12-31,2240,2020-04-17,2020,2020-04-27,-0.009736156402615,0,0.5214780600461894,learned_probe,20260910,0.4694731668684928,0.4694731668684928,-0.1222593931618413,False
2019-12-31,2245,2020-04-24,2020,2020-05-11,0.0437865347345864,1,0.5214780600461894,learned_probe,20260910,0.7432241672246397,0.7432241672246397,1.0627942465080766,True
2019-12-31,2252,2020-05-08,2020,2020-05-18,-0.0151204097857481,0,0.5214780600461894,learned_probe,20260910,0.6982169311169175,0.6982169311169175,0.8388213997366947,True
2019-12-31,2257,2020-05-15,2020,2020-05-25,-0.022055555271722,0,0.5214780600461894,learned_probe,20260910,0.4437450696886516,0.4437450696886516,-0.2259764667551276,False
2019-12-31,2262,2020-05-22,2020,2020-06-01,0.0191755130187654,1,0.5214780600461894,learned_probe,20260910,0.5251077246947548,0.5251077246947548,0.1005154419547248,True
2019-12-31,2267,2020-05-29,2020,2020-06-08,0.0312374254497365,1,0.5214780600461894,learned_probe,20260910,0.4841447791219344,0.4841447791219344,-0.0634421540147763,False
2019-12-31,2272,2020-06-05,2020,2020-06-15,-0.010100382492339,0,0.5214780600461894,learned_probe,20260910,0.4145016640860141,0.4145016640860141,-0.3453863516213797,False
2019-12-31,2277,2020-06-12,2020,2020-06-22,0.0287574347785699,1,0.5214780600461894,learned_probe,20260910,0.2043521573321249,0.2043521573321249,-1.3593119122446182,False
2019-12-31,2282,2020-06-19,2020,2020-07-06,0.0898838562932122,1,0.5214780600461894,learned_probe,20260910,0.5826865978669657,0.5826865978669657,0.3338119704435397,True
2019-12-31,2290,2020-07-03,2020,2020-07-13,0.0619282952028859,1,0.5214780600461894,learned_probe,20260910,0.2908785764133811,0.2908785764133811,-0.8911208553078597,False
2019-12-31,2295,2020-07-10,2020,2020-07-20,-0.0306112766401609,0,0.5214780600461894,learned_probe,20260910,0.2439803300283148,0.2439803300283148,-1.13097978691651,False
2019-12-31,2300,2020-07-17,2020,2020-07-27,-0.0135277995301487,0,0.5214780600461894,learned_probe,20260910,0.2700634035027953,0.2700634035027953,-0.9943009170382052,False
2019-12-31,2305,2020-07-24,2020,2020-08-03,0.0442975869953978,1,0.5214780600461894,learned_probe,20260910,0.3770148671405719,0.3770148671405719,-0.5022380326570796,False
2019-12-31,2310,2020-07-31,2020,2020-08-10,-0.0114318292193668,0,0.5214780600461894,learned_probe,20260910,0.5149658496965123,0.5149658496965123,0.0598812857406519,True
2019-12-31,2315,2020-08-07,2020,2020-08-17,0.0096886640921363,1,0.5214780600461894,learned_probe,20260910,0.5636444488366681,0.5636444488366681,0.2559662475002213,True
2019-12-31,2320,2020-08-14,2020,2020-08-24,0.0040785933083991,1,0.5214780600461894,learned_probe,20260910,0.5931883337139452,0.5931883337139452,0.3771616014218651,True
2019-12-31,2325,2020-08-21,2020,2020-08-31,0.0262367267824037,1,0.5214780600461894,learned_probe,20260910,0.7189903241284284,0.7189903241284284,0.9394587977815638,True
2019-12-31,2330,2020-08-28,2020,2020-09-07,-0.0228724288790846,0,0.5214780600461894,learned_probe,20260910,0.7424403153234806,0.7424403153234806,1.058691005645922,True
2019-12-31,2335,2020-09-04,2020,2020-09-14,-0.0225800080680405,0,0.5214780600461894,learned_probe,20260910,0.6417058802305761,0.6417058802305761,0.5827758555303646,True
2019-12-31,2340,2020-09-11,2020,2020-09-21,0.0212164529615974,1,0.5214780600461894,learned_probe,20260910,0.6041453362056852,0.6041453362056852,0.4227676585776906,True
2019-12-31,2345,2020-09-18,2020,2020-09-28,-0.035383886754723,0,0.5214780600461894,learned_probe,20260910,0.6399180353526679,0.6399180353526679,0.575008413279612,True
2019-12-31,2350,2020-09-25,2020,2020-10-12,0.0267399866889246,1,0.5214780600461894,learned_probe,20260910,0.6863310602252765,0.6863310602252765,0.7830220086131741,True
2019-12-31,2354,2020-10-09,2020,2020-10-19,0.0251424490828213,1,0.5214780600461894,learned_probe,20260910,0.7267413913709727,0.7267413913709727,0.9781520628403572,True
2019-12-31,2359,2020-10-16,2020,2020-10-26,-0.0289085288867603,0,0.5214780600461894,learned_probe,20260910,0.7047797652907543,0.7047797652907543,0.870163728209759,True
2019-12-31,2364,2020-10-23,2020,2020-11-02,0.0039922716452642,1,0.5214780600461894,learned_probe,20260910,0.7833482321993688,0.7833482321993688,1.285286030258067,True
2019-12-31,2369,2020-10-30,2020,2020-11-09,0.0459539631066927,1,0.5214780600461894,learned_probe,20260910,0.7476220491868055,0.7476220491868055,1.0859697996990276,True
