job,method,cutoff,seed,feature,feature_name,coefficient,validation_standardized_mean,validation_standardized_sd,mean_logit_contribution,outside_training_range_fraction
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,14,decoded_14,0.08470383874088303,-0.2709873150209847,0.7540607106058014,-0.02295366583236236,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,15,decoded_15,0.05608303398588234,-0.012021799267279804,1.0444975910201433,-0.0006742189768783077,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,16,decoded_16,-0.13663768119750894,0.10257831018302732,0.9820644829181974,-0.014016062444567668,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,17,decoded_17,0.16202755262845447,-0.27439899113943966,0.5961376800467714,-0.04446019697804037,0.02040816326530612
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,18,decoded_18,0.1454805911152412,0.2330806196184405,0.9359566567290241,0.03390870631959741,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,19,decoded_19,-0.14544838254145384,-0.282578171360868,0.7472627283758988,0.04110053796596003,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,20,decoded_20,-0.05338978549234224,0.09025379582126425,0.8717244983559056,-0.004818630798766951,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,21,decoded_21,0.05196419766531706,-0.2434649546826177,0.9502410725597229,-0.012651461029705007,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,22,decoded_22,-0.1917086266333857,-0.3496586644404085,0.6923426597706713,0.06703258235033456,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,23,decoded_23,0.1054170093088259,-0.18498604057976564,0.8838906748022164,-0.0195006751618,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,24,decoded_24,0.24244105826118414,-0.26443023420654516,0.7790077137349553,-0.06410874581728757,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,0,decoded_0,-0.03392906509517125,-0.2813214786156381,0.8281549252796422,0.009544974760619815,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,1,decoded_1,-0.053203416749013514,-0.7297248713295881,0.6801282344178714,0.038823856441468345,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,2,decoded_2,-0.0493035203773475,-0.566826375607794,0.8614020706673634,0.0279465357601969,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,3,decoded_3,0.27773082099353,0.4469891622005004,0.8158259109948787,0.12414266699315513,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,4,decoded_4,0.24653210804459758,-0.6061518279097257,0.6290899662987834,-0.14943588792967086,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,5,decoded_5,0.09566923823612683,0.2631803827534414,0.8085427698566183,0.02517826673671404,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,6,decoded_6,0.004325466969042264,0.387600614330938,0.5697455326778759,0.001676553654468962,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,7,decoded_7,-0.19086245207215738,0.5679509543351732,0.8284665248332405,-0.10840051180113304,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,8,decoded_8,0.004615353122513191,-0.18569614857329145,0.9892140112185323,-0.0008570532991564145,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,9,decoded_9,0.22002311932359686,0.667246661968095,0.37911237822842064,0.1468096919244779,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,10,decoded_10,-0.0668202716331696,0.3377804361663515,0.8333059565389601,-0.02257058049700612,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,11,decoded_11,-0.07461911570731572,0.48320481060586684,0.6439331347801843,-0.03605631567293078,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,12,decoded_12,0.1647775927357037,0.581541030507137,0.8951829398443686,0.09582493108400644,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,13,decoded_13,0.002045585896267356,-0.3269123105511272,0.9166777942667969,-0.0006687272117795597,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,14,decoded_14,0.10619364975684531,0.7174571101611599,0.5347396683483502,0.0761893890720126,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,15,decoded_15,0.20860092165792074,0.14932021671711063,0.8399691936531345,0.031148334829349734,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,16,decoded_16,0.16248979904901767,0.45936320390411306,0.6042075919931897,0.07464183469289226,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,17,decoded_17,-0.29061670861258176,0.5724983723346945,0.7993936766585227,-0.1663775926539692,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,18,decoded_18,0.14388868260036458,-0.1832332384413312,0.9394019493714126,-0.026365189287921618,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,19,decoded_19,-0.10641403566833071,0.6767299117921812,0.3983418932838413,-0.07201356097127945,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,20,decoded_20,0.09048172078206537,0.26419762757076676,0.8426868195238626,0.02390505596914221,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,21,decoded_21,-0.019620418984636206,0.6207241342046832,0.6341478108673193,-0.012178867586971438,0.0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,22,decoded_22,0.029461255910206638,0.5865368691075511,0.873272393180245,0.01728011280154894,0.0
