job,method,cutoff,seed,split,n,offset_gamma,joint_gamma,gamma_difference,frozen_original_interaction_coefficient,parent_coefficient_l2_drift,parent_intercept_drift,order_logit_sd,parent_constraint_rms,order_coefficient_change_rms,total_logit_difference_rms,rms_probability_change_vs_parent,rms_probability_change_vs_joint
learned_order_offset_2017-12-31_20260912,learned_order_offset,2017-12-31,20260912,training,1678,0.05106088275565043,0.0513604198416077,-0.00029953708595726464,0.19133192816270667,0.0,0.0,0.05106088275565043,0.0037849171580114304,0.00029953708595726464,0.0037967512900996176,0.010810735285395888,0.0007822572624848708
learned_order_offset_2017-12-31_20260912,learned_order_offset,2017-12-31,20260912,validation,49,0.05106088275565043,0.0513604198416077,-0.00029953708595726464,0.19133192816270667,0.0,0.0,0.02915498432814308,0.0029018825797092547,0.00017788864167609476,0.0028021476853560888,0.006800559580374784,0.0006422083769077598
learned_order_offset_2018-12-31_20260910,learned_order_offset,2018-12-31,20260910,training,1921,0.11688027177185564,0.11796415308048193,-0.001083881308626286,0.030378846321141868,0.0,0.0,0.11688027177185566,0.009633166362950665,0.001083881308626286,0.009693951354709471,0.022993896730524196,0.0018964181429713786
learned_order_offset_2018-12-31_20260910,learned_order_offset,2018-12-31,20260910,validation,46,0.11688027177185564,0.11796415308048193,-0.001083881308626286,0.030378846321141868,0.0,0.0,0.09094827796024794,0.009748487400481643,0.0008441033554902073,0.0095806667507083,0.016843675005440283,0.0019043162305782302
learned_order_offset_2018-12-31_20260911,learned_order_offset,2018-12-31,20260911,training,1921,0.1414293141918449,0.1420953590243679,-0.0006660448325229995,-0.021336409915014246,0.0,0.0,0.1414293141918449,0.007407361550818552,0.0006660448325229995,0.007437245515879895,0.028996342698511916,0.0014823708508552827
learned_order_offset_2018-12-31_20260911,learned_order_offset,2018-12-31,20260911,validation,46,0.1414293141918449,0.1420953590243679,-0.0006660448325229995,-0.021336409915014246,0.0,0.0,0.1033997501151472,0.006174419267111306,0.0004945895634758013,0.006322587407440974,0.021697923941976817,0.0011795636272501297
learned_order_offset_2018-12-31_20260912,learned_order_offset,2018-12-31,20260912,training,1921,0.09594656805735591,0.09612632411274001,-0.00017975605538410322,-0.0756645065343399,0.0,0.0,0.0959465680573559,0.003284599095498659,0.0001797560553841032,0.003289514167411025,0.020032283510269117,0.0007304394135048064
learned_order_offset_2018-12-31_20260912,learned_order_offset,2018-12-31,20260912,validation,46,0.09594656805735591,0.09612632411274001,-0.00017975605538410322,-0.0756645065343399,0.0,0.0,0.1036588302720874,0.004148237976077776,0.0002007036477615609,0.004025504089388345,0.02345163571905752,0.0009366034849744014
learned_order_offset_2019-12-31_20260910,learned_order_offset,2019-12-31,20260910,training,2165,0.038747624931045783,0.03879935820364597,-5.173327260018373e-05,-0.049102013670969655,0.0,0.0,0.038747624931045783,0.001323754110904857,5.1733272600183726e-05,0.0013247646121599976,0.00823564283609123,0.0002918251330669408
learned_order_offset_2019-12-31_20260910,learned_order_offset,2019-12-31,20260910,validation,46,0.038747624931045783,0.03879935820364597,-5.173327260018373e-05,-0.049102013670969655,0.0,0.0,0.05074215127019351,0.0015111403872812507,6.787291188732829e-05,0.001526121940559346,0.009711245791702572,0.00034382029393880195
