job,method,cutoff,seed,row_index,date,order_feature,refitted_base_logit,original_interaction_logit,order_interaction_logit,logit
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2010,2019-05-10,1.490078004583392,-0.7828812886512556,0.20051811972208922,0.125615844661477,-0.4567473242676896
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2015,2019-05-17,-1.4579395537141637,0.34846342545109354,-0.09030999868600263,-0.12290652431742011,0.135246902447671
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2020,2019-05-24,-1.474027118609512,0.40992277520847953,-0.10188645347815532,-0.12426273053391312,0.18377359119641123
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2025,2019-05-31,-3.908823492226033,1.4503052552864966,-0.3275242071603049,-0.3295197721852676,0.7932612759409245
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2034,2019-06-14,-3.0752311637306184,1.1495904516666096,-0.06831250804122875,-0.25924666961936854,0.8220312740060125
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2039,2019-06-21,-1.2891753732643219,0.6661029193971677,-0.06325029993969988,-0.10867944693583301,0.49417317252163473
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2044,2019-06-28,-1.0973973285438643,0.6817473368072824,-0.042575382628200056,-0.09251226575405175,0.5466596884250308
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2049,2019-07-05,0.01676673913337843,1.380651246092163,-0.02956908502863906,0.0014134616389071737,1.3524956227024314
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2054,2019-07-12,0.059927524064768145,0.418858493601668,-0.004470705391392185,0.00505198152761911,0.41943976973789493
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2059,2019-07-19,0.5987694330123123,-0.3106311828335386,-0.009613505250223498,0.050477174922358835,-0.2697675131614031
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2064,2019-07-26,0.19240855426791523,-0.6082688663360807,-0.022669957782238095,0.016220334096680614,-0.6147184900216384
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2069,2019-08-02,-0.42990705996894274,-0.4721023628796079,-0.06236903730321507,-0.036241819755623884,-0.5707132199384468
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2074,2019-08-09,-1.087813491439489,-0.5390341147451172,-0.046496923821387745,-0.09170433369327304,-0.6772353722597779
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2079,2019-08-16,-1.4406345126965014,-0.5150483082495098,-0.04993157887788732,-0.12144768301001961,-0.6864275701374168
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2084,2019-08-23,-0.4651698003925035,-0.4007789442549664,-0.0044606521625142285,-0.0392145224663269,-0.4444541188838076
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2089,2019-08-30,0.04841953448891309,0.03147006420330015,-0.03386457941715619,0.004081840483673781,0.00168732526981763
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2094,2019-09-06,0.5988156435395314,0.49828084576348713,-0.019103165034011365,0.05048107054016611,0.5296587512696419
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2103,2019-09-20,-1.4337613325926752,-0.9307062599636405,-0.0990476146205059,-0.1208682634617833,-1.1506221380459298
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2108,2019-09-27,0.1448872791097719,0.102930813480882,-0.0011026425348623632,0.012214218242330011,0.11404238918834972
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2113,2019-10-11,-0.0025477119998523197,0.6297051149996025,0.08872565661727588,-0.00021477600087460341,0.7182159956160039
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2118,2019-10-18,-0.025352183259759024,-0.2686391849556045,-0.03541371704117746,-0.0021372276514326333,-0.3061901296482145
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2123,2019-10-25,-1.0064413845407627,0.36624492616899545,-0.010253026920400497,-0.0848445411800446,0.27114735806855045
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2128,2019-11-01,-0.320833603046317,0.6158604607889541,0.012542496553113234,-0.027046761255774678,0.6013561960862925
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2133,2019-11-08,-1.0807251064526355,0.1816234603488351,0.009403976106570941,-0.09110677204571467,0.09992066440969127
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2138,2019-11-15,1.5491071518005466,-0.8401402417591102,-0.09853864839579457,0.13059209165292407,-0.808086798501981
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2143,2019-11-22,1.5216811459744508,-0.6329393607320288,-0.08802796472499634,0.12828003760143242,-0.5926872878555927
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2148,2019-11-29,0.3944067140955273,0.3642033799807185,0.04114354796438753,0.03324908654370693,0.4385960144888128
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2153,2019-12-06,0.9037012795075396,-0.2877193616974427,-0.020178438507911723,0.07618339388798355,-0.2317144063173708
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2158,2019-12-13,0.3788863083453357,-0.20040934441525904,-0.061459327375491694,0.03194069270673847,-0.2299279790840123
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2163,2019-12-20,1.2489679535922968,-0.6903529040500647,-0.1561817900231753,0.10528990023544264,-0.741244793837797
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2168,2019-12-27,-1.1508822164840011,0.5027544432500772,-0.002746731421431705,-0.09702112324645072,0.40298658858219466
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2172,2020-01-03,1.2078280895259683,-0.5719992246034478,-0.06726066562437324,0.04123872262501295,-0.598021167602808
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2177,2020-01-10,-2.6546397609733146,0.7685697297132182,0.02040216753765012,-0.09063703164501996,0.6983348656058481
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2182,2020-01-17,-0.9002149190669924,0.2817600778584253,0.03382063168491448,-0.030735924815982696,0.2848447847273571
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2191,2020-02-07,0.05881001627431646,0.20046319006099889,-0.048951789620195425,0.002007942992666169,0.15351934343346968
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2196,2020-02-14,0.8661983660032768,-0.5543476467169907,0.11187447626687018,0.029574501920937964,-0.41289866852918244
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2201,2020-02-21,-0.011801607550432464,-0.8287687748032779,0.21144554917664052,-0.000402940803018209,-0.6177261664296556
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2206,2020-02-28,-0.33631509466881804,0.3285153132780887,-0.062192616912415934,-0.011482763999217433,0.2548399323664553
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2211,2020-03-06,-0.5071646513482613,0.07332858275020153,0.021385510779645418,-0.01731605893548204,0.07739803459436487
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2216,2020-03-13,0.4013778714806353,0.09553930462772056,0.025384867040267867,0.01370419420888302,0.13462836587687144
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2221,2020-03-20,-0.5671005767829895,-0.14765462059741563,0.06885607635977584,-0.01936244370307448,-0.0981609879407142
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2226,2020-03-27,-0.46301803205086933,0.46435501253398465,-0.04181843544004802,-0.01580876646246819,0.4067278106314684
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2231,2020-04-03,-0.8475403164177091,0.16761474690649547,0.02564749165870134,-0.028937462479435207,0.16432477608576168
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2235,2020-04-10,-0.7097503564478828,-0.14524202901902694,0.05017650982549203,-0.02423291719771601,-0.11929843639125087
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2240,2020-04-17,0.34069933234852723,-0.012246019152714116,0.025470669551388266,0.011632454475174666,0.024857104873848845
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2245,2020-04-24,-0.9818949130433274,1.118431420544745,0.03548495611924191,-0.033524714582351504,1.1203916620816354
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2252,2020-05-08,-2.0985505557830373,0.8718339834739544,0.06902836019369064,-0.07165054781799955,0.8692117958496455
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2257,2020-05-15,0.35644464935061265,-0.2964122967003363,-0.051701144160857256,0.012170044854238242,-0.3359433960069553
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2262,2020-05-22,0.043475317842145124,0.16024086713533348,-0.0037456906582505243,0.001484372311816443,0.15797954878889936
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2267,2020-05-29,0.527233829307221,-0.1079834831689888,-0.06475454239966223,0.018001278355645037,-0.15473674721300604
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2272,2020-06-05,1.524345887215397,-0.3727947248700829,-0.027138292492709958,0.05204555000217479,-0.34788746736061815
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2277,2020-06-12,5.610169129202821,-1.5408958470867757,-0.06996834216431011,0.19154729932585443,-1.4193168899252309
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2282,2020-06-19,-0.4968563445401609,0.19674479224858243,0.012005685356123716,-0.016964103711986932,0.19178637389271913
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2290,2020-07-03,0.7940981306796105,-0.9196151968423263,-0.004663643230162471,0.027112792649978915,-0.89716604742251
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2295,2020-07-10,-0.03647285048710258,-1.3423529138104282,0.11919602115171034,-0.0012452879491910954,-1.2244021806079086
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2300,2020-07-17,-0.9304033369212483,-1.0109095981230134,0.19564780625744238,-0.03176664417180447,-0.8470284360373757
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2305,2020-07-24,-1.7549081951782448,-0.5596696575176644,0.17075868381691625,-0.05991760989903834,-0.4488285835997865
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2310,2020-07-31,-0.47149837539794737,-0.07202884560599244,0.04496325837922896,-0.016098309759306303,-0.04316389698606975
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2315,2020-08-07,0.2640940975446517,0.14151921657991734,0.005891912334724311,0.009016931573284833,0.1564280604879265
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2320,2020-08-14,0.05934410793807124,0.245921845864421,0.00482518862584939,0.0020261784172012605,0.25277321290747173
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2325,2020-08-21,1.843459085723047,0.7843964876674495,0.016624653506497163,0.06294099182320617,0.8639621329971529
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2330,2020-08-28,2.2082083296151076,0.9550747361720273,0.022736138266472434,0.07539457940490522,1.053205453843405
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2335,2020-09-04,0.9465909350440139,0.48293775451318727,0.022224510057499283,0.03231933529957242,0.5374815998702591
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2340,2020-09-11,0.8152859768217954,0.4425317197041528,-0.0072560325892554465,0.027836206617294353,0.4631118937321917
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2345,2020-09-18,1.1988070875983825,0.6276205619900295,0.0209150359680986,0.040930719690226575,0.6894663176483548
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2350,2020-09-25,0.39089014354017715,0.8171009175525664,0.031228670805309933,0.013346113032220788,0.8616757013900973
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2354,2020-10-09,0.04356613060100141,1.0360327959409812,-0.008502166089612352,0.001487472920426031,1.0290181027717948
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2359,2020-10-16,0.443060210986287,0.7371145796956592,-0.0070275214159309365,0.015127349086751285,0.7452144073664795
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2364,2020-10-23,1.0709006238962615,1.2230388089352766,-0.014071181816086483,0.036563625379124574,1.2455312524983146
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2369,2020-10-30,0.8956638756089187,1.0672085765935253,0.012662589144768081,0.030580539111303866,1.1104517048495972
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2374,2020-11-06,0.8429148006752761,1.057064509302749,0.011814492673971033,0.02877953407691338,1.0976585360536337
