history,method,row_index,date,year,cutoff,state,action,original_accepted,original_reason,retention_reason,source_cutoff,expiry,source_age_days,used_retained_source,probability,annual_probability,monthly_probability,quarterly_probability,actual_up,changed_vs_annual,changed_vs_monthly,changed_vs_quarterly,case_vs_annual,case_vs_monthly,case_vs_quarterly,brier_vs_annual,brier_vs_monthly,brier_vs_quarterly
monthly_state_retained,learned_order_extension,3688,2026-04-10,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.44375946503679303,0.44375946503679303,0.44375946503679303,0.44375946503679303,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3693,2026-04-17,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.46054365813436954,0.46054365813436954,0.46054365813436954,0.46054365813436954,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3698,2026-04-24,2026,2026-03-31,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.4343183639133092,0.4343183639133092,0.4343183639133092,0.4343183639133092,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3684,2026-04-03,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4717773274837606,0.4717773274837606,0.4717773274837606,0.4717773274837606,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3688,2026-04-10,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4438002968884842,0.4438002968884842,0.4438002968884842,0.4438002968884842,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3693,2026-04-17,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4602669164556108,0.4602669164556108,0.4602669164556108,0.4602669164556108,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3698,2026-04-24,2026,2026-03-31,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.4343448920363467,0.4343448920363467,0.4343448920363467,0.4343448920363467,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3705,2026-05-08,2026,2026-04-30,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.5509925651699676,0.5509925651699676,0.5509925651699676,0.5509925651699676,0,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3710,2026-05-15,2026,2026-04-30,nonnegative_low,fallback,False,brier_not_better,cleared_brier_not_better,,,,False,0.6068105774736267,0.6068105774736267,0.6068105774736267,0.6068105774736267,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_market,3715,2026-05-22,2026,2026-04-30,nonnegative_low,fallback,False,brier_not_better,cleared_brier_not_better,,,,False,0.47476764013923195,0.47476764013923195,0.47476764013923195,0.47476764013923195,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3720,2026-05-29,2026,2026-04-30,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.47069934366443983,0.47069934366443983,0.47069934366443983,0.47069934366443983,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3705,2026-05-08,2026,2026-04-30,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.5478187978020205,0.5478187978020205,0.5478187978020205,0.5478187978020205,0,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3710,2026-05-15,2026,2026-04-30,nonnegative_low,fallback,False,brier_not_better,cleared_brier_not_better,,,,False,0.6034610316997535,0.6034610316997535,0.6034610316997535,0.6034610316997535,1,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3715,2026-05-22,2026,2026-04-30,nonnegative_low,fallback,False,brier_not_better,cleared_brier_not_better,,,,False,0.46869800902449255,0.46869800902449255,0.46869800902449255,0.46869800902449255,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3720,2026-05-29,2026,2026-04-30,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.46830450470324064,0.46830450470324064,0.46830450470324064,0.46830450470324064,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
