history,method,cutoff,date,row_index,state,year,probability,actual_up,annual_probability,changed_vs_annual,case_vs_annual,brier_vs_annual,quarter4_probability,changed_vs_quarter4,case_vs_quarter4,brier_vs_quarter4
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-05-29,3720,nonnegative_high,2026,0.5026462416041677,0,0.48902554756900835,True,regression,0.013507258023626872,0.48902554756900835,True,regression,0.013507258023626872
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-06-05,3725,nonnegative_high,2026,0.4589523227200651,1,0.4139157607784329,True,stable_wrong,-0.050762146373910466,0.4139157607784329,True,stable_wrong,-0.050762146373910466
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-06-12,3730,nonnegative_high,2026,0.42431728090074344,1,0.36173713655684153,True,stable_wrong,-0.0759688897811463,0.36173713655684153,True,stable_wrong,-0.0759688897811463
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-06-26,3739,nonnegative_high,2026,0.5105598026150252,1,0.48519534811444237,True,recovery,-0.025472122786767054,0.48519534811444237,True,recovery,-0.025472122786767054
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-07-03,3744,nonnegative_high,2026,0.5015310915137411,0,0.4899947842704179,True,regression,0.011438547142751165,0.4899947842704179,True,regression,0.011438547142751165
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-07-10,3749,nonnegative_high,2026,0.5053181919379043,0,0.48332989719207314,True,regression,0.021738685583692657,0.48332989719207314,True,regression,0.021738685583692657
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-07-17,3754,negative_high,2026,0.488575926327292,1,0.4828431648821933,True,stable_wrong,-0.005896608977078777,0.4828431648821933,True,stable_wrong,-0.005896608977078777
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-07-24,3759,negative_high,2026,0.5222840932912057,0,0.48604553906921294,True,regression,0.036540408055935086,0.48604553906921294,True,regression,0.036540408055935086
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-07-31,3764,negative_high,2026,0.3854892344310552,1,0.4256339199295458,True,stable_wrong,0.04772708706463119,0.4256339199295458,True,stable_wrong,0.04772708706463119
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-08-07,3769,negative_high,2026,0.4194123941683054,0,0.423905703819994,True,stable_correct,-0.0037892893491345003,0.423905703819994,True,stable_correct,-0.0037892893491345003
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-08-14,3774,negative_high,2026,0.5246600058357203,0,0.4792330760731214,True,regression,0.045603780521031895,0.4792330760731214,True,regression,0.045603780521031895
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-08-21,3779,negative_high,2026,0.5110638222142753,0,0.5010878184625182,True,stable_wrong,0.010097228564738825,0.5010878184625182,True,stable_wrong,0.010097228564738825
