period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
year_2024,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,47,47,0,5,0.00618065195295184
year_2024,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,47,47,1,3,0.004093550907758891
year_2024,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,47,47,1,4,0.00646490082036835
year_2024,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,47,47,1,4,0.0018289318455930322
year_2024,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,47,47,1,5,0.00441991672982907
year_2025,annual_head_timeweight2y,learned_market,rolling5_annual20,48,48,4,1,0.011579291267129074
year_2025,annual_head_timeweight2y,learned_market,weekly_state_validated,48,48,4,1,0.011579291267129074
year_2025,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,48,48,3,3,0.011735858531205073
year_2025,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,48,48,3,3,0.011735858531205073
year_2025,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,48,48,3,3,0.011640846115006405
year_2025,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,48,48,3,3,0.011640846115006405
year_2025,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,48,48,2,2,0.01156345823503076
year_2025,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,48,48,2,2,0.01156345823503076
year_2026,annual_head_timeweight2y,learned_market,rolling5_annual20,30,30,3,3,-0.00044440292245613946
year_2026,annual_head_timeweight2y,learned_market,weekly_state_validated,30,30,4,3,-0.001586419426805192
year_2026,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,30,30,4,8,0.00010367177149101515
year_2026,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,30,30,4,8,0.00010367177149101515
year_2026,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,30,30,4,8,4.527438312745917e-05
year_2026,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,30,30,4,8,4.527438312745917e-05
year_2026,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,30,30,4,3,0.00040140275299229236
year_2026,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,30,30,4,3,-0.0007973601500820483
