period,state,arm,history,method,seed,supported,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_extension,20260912,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.0,0.28122899532862006,0.7599817829711513,0.44417446792767007,0.09521504019994136,0.24417446792767006,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_offset,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.29779998625049375,0.78998926651131,0.5380131191864972,0.05132347502948867,0.3380131191864972,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_offset,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3409113413774147,0.9094056557160975,0.4901384614087016,0.19087261152975196,0.2901384614087016,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_offset,20260912,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.0,0.28117912406765305,0.759865391771095,0.4442224779182616,0.09516738892641481,0.24422247791826157,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_market,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.3098266567585579,0.8143021692605613,0.5358261604045769,0.06082637496144187,0.33582616040457686,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_market,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.32902552918333916,0.8585363961347536,0.5002131976939003,0.13644843662583525,0.30021319769390026,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_market,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.307138734884671,0.810106456207601,0.49018485106862536,0.0787902405318075,0.29018485106862535,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_vol_interaction,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.306220791044141,0.8069236555861078,0.5330435221284711,0.059751021457729536,0.33304352212847105,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_vol_interaction,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3252208180485977,0.8504123350491064,0.4969933395732865,0.13616450198677174,0.2969933395732865,0.0
year_2022,nonnegative_high,add,fixed_transform_add_only,learned_vol_interaction,20260912,False,5,0.4,0.6,2,0.25,0.4,0.2,0,2,2,1,0.0,0.30030146026657917,0.7979841712854784,0.4709433579174947,0.08567261741315128,0.2709433579174947,0.0
