period,method,case,n,annual_correct,both_correct,mean_add_without_remove,mean_add_after_remove,mean_remove_without_add,mean_remove_after_add,mean_nonadditive,mean_add_effect,mean_remove_effect,mean_total_delta,mean_signed_add_without_remove,mean_signed_add_after_remove,mean_signed_remove_without_add,mean_signed_remove_after_add,mean_signed_nonadditive,mean_signed_add_effect,mean_signed_remove_effect,mean_signed_total_delta,dominant_add,dominant_remove,dominant_tie,dominant_none
pooled_2021_2026,learned_order_extension,stable_correct,115,115,115,5.108598537792176e-05,0.002923156971278251,-0.00957232895269218,-0.006700257966791848,0.0028720709859003306,0.0014871214783280864,-0.008136293459742015,-0.006649171981413928,-0.006871710760179116,-0.006681871738881964,-0.001650365108868785,-0.0014605260875716342,0.0001898390212971505,-0.006776791249530543,-0.0015554455982202098,-0.00833223684775075,38,24,0,53
pooled_2021_2026,learned_order_extension,stable_wrong,119,0,0,-0.004833460713555032,-0.0033272453298089826,-0.004194920028484584,-0.0026887046447385344,0.001506215383746049,-0.004080353021682009,-0.003441812336611559,-0.007522165358293567,0.012182272151449531,0.013319192233819242,-0.004079123356266341,-0.0029422032738966298,0.00113692008236971,0.012750732192634388,-0.003510663315081485,0.009240068877552904,15,50,0,54
pooled_2021_2026,learned_order_offset,all,272,139,130,-0.0005721531230417374,0.0015343096337660765,-0.005871404080216588,-0.003764941323408774,0.002106462756807814,0.0004810782553621693,-0.004818172701812681,-0.0043370944464505125,0.001283843901872712,0.0014743503785463268,-0.002001377949699897,-0.0018108714730262826,0.00019050647667361357,0.0013790971402095186,-0.0019061247113630903,-0.0005270275711535708,74,79,0,119
pooled_2021_2026,learned_order_offset,regression,25,25,0,0.020077213142808848,0.024435922465223935,0.00737131059953273,0.011730019921947814,0.004358709322415083,0.022256567804016393,0.009550665260740273,0.03180723306475666,-0.03860989747081143,-0.044382478249964136,-0.016460439937765678,-0.022233020716918385,-0.005772580779152707,-0.041496187860387786,-0.019346730327342028,-0.060842918187729814,19,6,0,0
pooled_2021_2026,learned_order_offset,recovery,16,0,16,0.004421970454357285,0.007493553917769159,-0.010442392689799523,-0.00737080922638765,0.0030715834634118767,0.005957762186063222,-0.008906600958093584,-0.002948838772030362,0.05303998123129018,0.058842170902566056,0.03038455116100116,0.036186740832277034,0.005802189671275876,0.05594107606692812,0.0332856459966391,0.08922672206356722,0,3,0,13
pooled_2021_2026,learned_order_offset,stable_correct,114,114,114,2.7833554260796323e-05,0.0023072797136813013,-0.009131565887490435,-0.006852119728069928,0.0022794461594205042,0.0011675566339710483,-0.007991842807780182,-0.006824286173809133,-0.007909831210729907,-0.008189122579971946,-0.0009818543571215317,-0.0012611457263635704,-0.00027929136924204013,-0.008049476895350925,-0.001121500041742551,-0.009170976937093477,41,22,0,51
pooled_2021_2026,learned_order_offset,stable_wrong,117,0,0,-0.0062519703460942,-0.004927287105044449,-0.004899383594842125,-0.0035747003537923753,0.0013246832410497506,-0.005589628725569323,-0.0042370419743172506,-0.00982667069988657,0.011688325097454958,0.012843337597345718,-0.004334061758447814,-0.0031790492585570523,0.0011550124998907613,0.01226583134740034,-0.0037565555085024324,0.008509275838897901,14,48,0,55
pooled_2021_2026,learned_vol_interaction,all,272,139,133,0.0010874678749162232,0.003116210391098265,-0.005282786036328984,-0.003254043520146941,0.0020287425161820425,0.002101839133007245,-0.004268414778237963,-0.002166575645230719,-0.0002325244269093641,-8.330024280162807e-05,-0.0018812610903204538,-0.0017320369062127177,0.00014922418410773545,-0.00015791233485549632,-0.0018066489982665856,-0.0019645613331220825,76,77,0,119
pooled_2021_2026,learned_vol_interaction,regression,17,17,0,0.01191153892606856,0.016061601190259976,-0.0002996391635704328,0.0038504231006209846,0.004150062264191419,0.013986570058164267,0.0017753919685252757,0.015761962026689544,-0.030475597094189476,-0.03650622349809004,-0.010899740830232478,-0.016930367234133055,-0.006030626403900579,-0.033490910296139764,-0.013915054032182768,-0.047405964328322524,12,5,0,0
pooled_2021_2026,learned_vol_interaction,recovery,11,0,11,-0.0019274087487001238,-0.003623106836390041,-0.006754519166355724,-0.008450217254045643,-0.001695698087689919,-0.002775257792545081,-0.007602368210200682,-0.01037762600274577,0.023387658138204037,0.024190237163783337,0.032769181991504574,0.033571761017083875,0.0008025790255792982,0.023788947650993687,0.033170471504294224,0.05695941915528791,0,1,0,10
