arm,job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
remove,remove_learned_order_extension_2022-03-31_20260912,L-BFGS-B,True,71,7.324968198663129e-08,3.9968028886505635e-15,9.009783480970566e-09,
remove,remove_learned_order_offset_2022-03-31_20260912,brentq,True,10,,0.0,2.3852447794681098e-18,4.365605099643233e-14
add,add_learned_market_2022-06-30_20260910,L-BFGS-B,True,74,1.2507935287509042e-07,5.329070518200751e-15,1.2297156179409338e-08,
add,add_learned_vol_interaction_2022-06-30_20260910,L-BFGS-B,True,80,1.3105593493767387e-07,8.43769498715119e-15,9.968034410477028e-09,
add,add_learned_order_extension_2022-06-30_20260910,L-BFGS-B,True,69,6.251423190217764e-08,2.220446049250313e-15,1.3333367834844102e-08,
add,add_learned_order_offset_2022-06-30_20260910,brentq,True,12,,0.0,9.324138683375338e-18,1.609823385706477e-15
remove,remove_learned_market_2022-06-30_20260910,L-BFGS-B,True,70,9.887248830775519e-08,2.4424906541753444e-15,9.519305186451131e-09,
remove,remove_learned_vol_interaction_2022-06-30_20260910,L-BFGS-B,True,70,3.01267752966794e-08,7.771561172376096e-16,1.8639367749457604e-09,
remove,remove_learned_order_extension_2022-06-30_20260910,L-BFGS-B,True,74,1.3111145102939759e-07,8.104628079763643e-15,1.1886537080573606e-08,
remove,remove_learned_order_offset_2022-06-30_20260910,brentq,True,11,,0.0,4.87890977618477e-18,1.3877787807814457e-17
add,add_learned_market_2022-06-30_20260911,L-BFGS-B,True,80,7.580999372702735e-08,2.1094237467877974e-15,8.623514017886552e-09,
add,add_learned_vol_interaction_2022-06-30_20260911,L-BFGS-B,True,75,7.693096826244528e-08,1.7763568394002505e-15,1.3524726209194343e-08,
add,add_learned_order_extension_2022-06-30_20260911,L-BFGS-B,True,79,7.11206851744528e-08,1.6653345369377348e-15,5.621648838062196e-09,
add,add_learned_order_offset_2022-06-30_20260911,brentq,True,11,,0.0,1.3986208025063007e-17,1.3589407377168072e-11
remove,remove_learned_market_2022-06-30_20260911,L-BFGS-B,True,79,9.818644991499426e-08,3.552713678800501e-15,1.1878864926212138e-08,
remove,remove_learned_vol_interaction_2022-06-30_20260911,L-BFGS-B,True,81,9.138022366572685e-08,3.3306690738754696e-15,1.4666115550092049e-08,
remove,remove_learned_order_extension_2022-06-30_20260911,L-BFGS-B,True,81,9.160582548073393e-08,2.9976021664879227e-15,1.113841234024783e-08,
remove,remove_learned_order_offset_2022-06-30_20260911,brentq,True,11,,0.0,4.336808689942018e-18,1.3877787807814457e-17
add,add_learned_market_2022-06-30_20260912,L-BFGS-B,True,74,1.8559260173134362e-07,1.1879386363489175e-14,3.0431378116209384e-08,
add,add_learned_vol_interaction_2022-06-30_20260912,L-BFGS-B,True,84,3.7313885981049566e-08,6.661338147750939e-16,4.417095416319426e-09,
add,add_learned_order_extension_2022-06-30_20260912,L-BFGS-B,True,82,8.832670728153857e-08,3.4416913763379853e-15,1.5664658023408634e-08,
add,add_learned_order_offset_2022-06-30_20260912,brentq,True,11,,0.0,1.878705524482882e-15,7.28583859910259e-15
remove,remove_learned_market_2022-06-30_20260912,L-BFGS-B,True,77,8.648948768286147e-08,3.1086244689504383e-15,7.037894987822237e-09,
remove,remove_learned_vol_interaction_2022-06-30_20260912,L-BFGS-B,True,73,8.864689482468435e-08,1.3322676295501878e-15,8.574205645939421e-09,
remove,remove_learned_order_extension_2022-06-30_20260912,L-BFGS-B,True,77,1.0826808682917743e-07,6.661338147750939e-15,1.1284588969967708e-08,
remove,remove_learned_order_offset_2022-06-30_20260912,brentq,True,10,,0.0,1.0842021724855044e-19,1.0444312081858698e-11
add,add_learned_market_2022-09-30_20260910,L-BFGS-B,True,72,4.7697512994826496e-08,4.440892098500626e-16,2.318086997853651e-09,
add,add_learned_vol_interaction_2022-09-30_20260910,L-BFGS-B,True,64,1.3278942423422535e-07,3.4416913763379853e-15,6.761788047640908e-09,
add,add_learned_order_extension_2022-09-30_20260910,L-BFGS-B,True,71,9.812683332555139e-08,3.885780586188048e-15,1.569795174969149e-08,
add,add_learned_order_offset_2022-09-30_20260910,brentq,True,12,,1.1102230246251565e-16,1.734723475976807e-18,4.042322032660195e-13
remove,remove_learned_market_2022-09-30_20260910,L-BFGS-B,True,81,7.29146837352701e-08,2.3314683517128287e-15,7.663888764494059e-09,
remove,remove_learned_vol_interaction_2022-09-30_20260910,L-BFGS-B,True,72,6.889584491798217e-08,1.7763568394002505e-15,1.0718527407137116e-08,
remove,remove_learned_order_extension_2022-09-30_20260910,L-BFGS-B,True,86,6.434164145918686e-08,3.9968028886505635e-15,8.104749752834567e-09,
remove,remove_learned_order_offset_2022-09-30_20260910,brentq,True,11,,0.0,5.9631119486702744e-18,1.3877787807814457e-17
add,add_learned_market_2022-09-30_20260911,L-BFGS-B,True,80,7.613427721597787e-08,1.3322676295501878e-15,7.06127616372388e-09,
add,add_learned_vol_interaction_2022-09-30_20260911,L-BFGS-B,True,72,8.937327999891664e-08,5.773159728050814e-15,1.301118961649552e-08,
add,add_learned_order_extension_2022-09-30_20260911,L-BFGS-B,True,80,8.233530568446668e-08,2.6645352591003757e-15,1.5240945133764353e-08,
add,add_learned_order_offset_2022-09-30_20260911,brentq,True,9,,0.0,8.239936510889834e-18,3.469446951953614e-17
remove,remove_learned_market_2022-09-30_20260911,L-BFGS-B,True,82,6.843520483634791e-08,2.4424906541753444e-15,1.022552198882802e-08,
remove,remove_learned_vol_interaction_2022-09-30_20260911,L-BFGS-B,True,82,8.823837438498572e-08,2.9976021664879227e-15,8.924667768044417e-09,
remove,remove_learned_order_extension_2022-09-30_20260911,L-BFGS-B,True,79,7.440119786927823e-08,3.219646771412954e-15,9.900451547559946e-09,
remove,remove_learned_order_offset_2022-09-30_20260911,brentq,True,11,,1.1102230246251565e-16,1.3010426069826053e-18,0.0
add,add_learned_market_2022-09-30_20260912,L-BFGS-B,True,70,1.1086462159415333e-07,6.772360450213455e-15,7.860099916800253e-09,
add,add_learned_vol_interaction_2022-09-30_20260912,L-BFGS-B,True,74,1.0167483488476847e-07,2.3314683517128287e-15,1.1037984627281384e-08,
add,add_learned_order_extension_2022-09-30_20260912,L-BFGS-B,True,81,1.0301678710078477e-07,5.88418203051333e-15,1.3736284752068149e-08,
add,add_learned_order_offset_2022-09-30_20260912,brentq,True,13,,1.1102230246251565e-16,3.0162504438546733e-16,6.255468365523598e-12
remove,remove_learned_market_2022-09-30_20260912,L-BFGS-B,True,82,7.944630886491666e-08,2.3314683517128287e-15,5.375391528569069e-09,
remove,remove_learned_vol_interaction_2022-09-30_20260912,L-BFGS-B,True,76,7.852203109948164e-08,2.7755575615628914e-15,8.384371990471148e-09,
remove,remove_learned_order_extension_2022-09-30_20260912,L-BFGS-B,True,75,8.120830485847108e-08,1.887379141862766e-15,1.0186281457383415e-08,
remove,remove_learned_order_offset_2022-09-30_20260912,brentq,True,10,,0.0,1.8214596497756474e-17,1.1376150715891598e-10
add,add_learned_market_2023-03-31_20260910,L-BFGS-B,True,81,1.068415671490186e-07,4.773959005888173e-15,1.851171407948795e-08,
add,add_learned_vol_interaction_2023-03-31_20260910,L-BFGS-B,True,83,6.72911545929189e-08,1.6653345369377348e-15,6.088456166537988e-09,
add,add_learned_order_extension_2023-03-31_20260910,L-BFGS-B,True,82,6.426065612963328e-08,1.7763568394002505e-15,1.1970535515300543e-08,
add,add_learned_order_offset_2023-03-31_20260910,brentq,True,12,,1.1102230246251565e-16,1.3010426069826053e-18,3.969047313034935e-15
remove,remove_learned_market_2023-03-31_20260910,L-BFGS-B,True,82,6.858190271241682e-08,2.3314683517128287e-15,9.637382375644876e-09,
remove,remove_learned_vol_interaction_2023-03-31_20260910,L-BFGS-B,True,85,6.527228096908644e-08,1.5543122344752192e-15,7.571828255104746e-09,
remove,remove_learned_order_extension_2023-03-31_20260910,L-BFGS-B,True,80,5.7378969464672025e-08,1.4432899320127035e-15,6.542765755394864e-09,
