job,iteration,objective,gradient_inf,last_step,last_backtracks,gamma,gradient,hessian
learned_order_offset_2021-09-30_20260911,2,0.6424834219681508,,,,-0.05862075486537955,1.3755467901874208e-11,0.2187244502709594
learned_market_2021-09-30_20260912,0,0.6878869432603338,0.09238441814491345,0.0,0.0,,,
learned_market_2021-09-30_20260912,1,0.6408098752678757,0.007819008924822648,1.0,0.0,,,
learned_market_2021-09-30_20260912,2,0.6403099874239007,0.00024016800063276318,1.0,0.0,,,
learned_market_2021-09-30_20260912,3,0.6403095016933957,2.5640006350372e-07,1.0,0.0,,,
learned_market_2021-09-30_20260912,4,0.6403095016928626,2.8532514892432026e-13,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260912,0,0.6878869432603338,0.09238441814491345,0.0,0.0,,,
learned_vol_interaction_2021-09-30_20260912,1,0.6408094441087168,0.007704769697089115,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260912,2,0.6403081477472459,0.00025081573643160097,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260912,3,0.6403075027811431,3.599345430157965e-07,1.0,0.0,,,
learned_vol_interaction_2021-09-30_20260912,4,0.6403075027796262,8.516848250955666e-13,1.0,0.0,,,
learned_order_extension_2021-09-30_20260912,0,0.6878869432603338,0.09238441814491345,0.0,0.0,,,
learned_order_extension_2021-09-30_20260912,1,0.6407715570789386,0.007761020479859393,1.0,0.0,,,
learned_order_extension_2021-09-30_20260912,2,0.6402495747931691,0.0002668655496101055,1.0,0.0,,,
learned_order_extension_2021-09-30_20260912,3,0.640248788972634,4.5116186616375557e-07,1.0,0.0,,,
learned_order_extension_2021-09-30_20260912,4,0.6402487889700156,1.5123611998152375e-12,1.0,0.0,,,
learned_order_offset_2021-09-30_20260912,0,0.6381152734117839,,,,0.0,-0.00486365532830647,0.20254927190840935
learned_order_offset_2021-09-30_20260912,1,0.6380569741812961,,,,0.024012208399869065,1.178329154516791e-05,0.20353022814411564
learned_order_offset_2021-09-30_20260912,2,0.6380569738402005,,,,0.02395431384704213,6.824694192479434e-11,0.20352787050197046
learned_market_2022-03-31_20260910,0,0.6917477160478,0.08145839324124851,0.0,0.0,,,
learned_market_2022-03-31_20260910,1,0.6710732901148774,0.001970795247485592,1.0,0.0,,,
learned_market_2022-03-31_20260910,2,0.6710539701828684,5.8058598717924785e-06,1.0,0.0,,,
learned_market_2022-03-31_20260910,3,0.6710539699586577,6.614192158381493e-11,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260910,0,0.6917477160478,0.08145839324124851,0.0,0.0,,,
learned_vol_interaction_2022-03-31_20260910,1,0.6707711174224217,0.0019701776643253344,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260910,2,0.6707535187169248,5.246487858280883e-06,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260910,3,0.6707535185701898,4.3764209270436005e-11,1.0,0.0,,,
learned_order_extension_2022-03-31_20260910,0,0.6917477160478,0.08145839324124851,0.0,0.0,,,
learned_order_extension_2022-03-31_20260910,1,0.6688273590274807,0.0025253515683356306,1.0,0.0,,,
learned_order_extension_2022-03-31_20260910,2,0.6687877754618148,1.9405478348471193e-05,1.0,0.0,,,
learned_order_extension_2022-03-31_20260910,3,0.6687877735505932,1.2118916148384784e-09,1.0,0.0,,,
learned_order_extension_2022-03-31_20260910,4,0.6687877735505933,3.838075690598686e-17,1.0,0.0,,,
learned_order_offset_2022-03-31_20260910,0,0.6692392079221686,,,,0.0,-0.03071765726546498,0.24136846744530202
learned_order_offset_2022-03-31_20260910,1,0.6672757489586499,,,,0.12726458261341073,-0.0002420241631602908,0.23651560034138686
learned_order_offset_2022-03-31_20260910,2,0.6672756251170404,,,,0.1282878730974674,-3.2551900476128146e-08,0.23645191753750094
learned_order_offset_2022-03-31_20260910,3,0.6672756251170382,,,,0.12828801076562765,-5.876375774871434e-16,0.23645190894541876
learned_market_2022-03-31_20260911,0,0.6917477160478,0.07024606987540778,0.0,0.0,,,
learned_market_2022-03-31_20260911,1,0.6610445589865572,0.002940498449037665,1.0,0.0,,,
learned_market_2022-03-31_20260911,2,0.6609595220845047,2.7610224884223617e-05,1.0,0.0,,,
learned_market_2022-03-31_20260911,3,0.6609595153371002,2.6490496673418212e-09,1.0,0.0,,,
learned_market_2022-03-31_20260911,4,0.6609595153371002,2.5722696542218593e-17,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260911,0,0.6917477160478,0.07024606987540778,0.0,0.0,,,
learned_vol_interaction_2022-03-31_20260911,1,0.6609035052102287,0.002955358396304754,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260911,2,0.6608186990726166,2.6800234474441952e-05,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260911,3,0.660818692377135,2.5278746913098317e-09,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260911,4,0.6608186923771349,5.000591309262069e-17,1.0,0.0,,,
learned_order_extension_2022-03-31_20260911,0,0.6917477160478,0.07024606987540778,0.0,0.0,,,
learned_order_extension_2022-03-31_20260911,1,0.6603938394079566,0.003097360454080958,1.0,0.0,,,
learned_order_extension_2022-03-31_20260911,2,0.6602923702660768,3.323569420436256e-05,1.0,0.0,,,
learned_order_extension_2022-03-31_20260911,3,0.6602923568596104,5.708626269070559e-09,1.0,0.0,,,
learned_order_extension_2022-03-31_20260911,4,0.6602923568596102,1.6566609195578508e-16,1.0,0.0,,,
learned_order_offset_2022-03-31_20260911,0,0.6582198037856616,,,,0.0,0.015651760214978813,0.23332208959011982
learned_order_offset_2022-03-31_20260911,1,0.6576948763384682,,,,-0.06708220487170537,2.453635643063167e-06,0.23296800013539828
learned_order_offset_2022-03-31_20260911,2,0.6576948763255472,,,,-0.06709273694324153,9.959394420278045e-13,0.2329678110032096
learned_market_2022-03-31_20260912,0,0.6917477160478,0.06803048148139507,0.0,0.0,,,
learned_market_2022-03-31_20260912,1,0.6768435451945212,0.0011746160982843284,1.0,0.0,,,
learned_market_2022-03-31_20260912,2,0.6768363125658423,1.7251947546340247e-06,1.0,0.0,,,
learned_market_2022-03-31_20260912,3,0.6768363125473181,4.327125273763735e-12,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260912,0,0.6917477160478,0.06803048148139507,0.0,0.0,,,
learned_vol_interaction_2022-03-31_20260912,1,0.676559773582919,0.0012185402997495912,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260912,2,0.6765504375962693,2.3631253625537433e-06,1.0,0.0,,,
learned_vol_interaction_2022-03-31_20260912,3,0.676550437547174,1.538521767667847e-11,1.0,0.0,,,
learned_order_extension_2022-03-31_20260912,0,0.6917477160478,0.06803048148139507,0.0,0.0,,,
learned_order_extension_2022-03-31_20260912,1,0.6752044357313343,0.0014898364394323599,1.0,0.0,,,
learned_order_extension_2022-03-31_20260912,2,0.6751857954091638,7.1610273173819666e-06,1.0,0.0,,,
learned_order_extension_2022-03-31_20260912,3,0.6751857950375558,1.6001925934490402e-10,1.0,0.0,,,
learned_order_offset_2022-03-31_20260912,0,0.6751778227828247,,,,0.0,-0.025854691730765832,0.24525124400948747
learned_order_offset_2022-03-31_20260912,1,0.6738140136797618,,,,0.10542124601727056,-4.457737708040495e-05,0.24378497631708657
learned_order_offset_2022-03-31_20260912,2,0.6738140096041244,,,,0.10560410132588656,-5.279403361962282e-10,0.24377920005839776
learned_order_offset_2022-03-31_20260912,3,0.6738140096041244,,,,0.10560410349153619,8.673617379884035e-19,0.24377919998992065
learned_market_2022-06-30_20260910,0,0.6911176628994984,0.07533331724786167,0.0,0.0,,,
learned_market_2022-06-30_20260910,1,0.6734673702230765,0.001490154983641248,1.0,0.0,,,
learned_market_2022-06-30_20260910,2,0.6734568552787519,2.930840066877336e-06,1.0,0.0,,,
learned_market_2022-06-30_20260910,3,0.673456855228733,1.3663117295545368e-11,1.0,0.0,,,
