history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_quarter_half,learned_order_extension,2024,47,0.6382978723404256,0.3617021276595745,30,0.63,0.3617021276595745,0.46808510638297873,11,19,6,11,0.649090909090909,0.23477956034637368,0.6623378410610083,0.4739230133035052,0.07932294476590179,0.005837906920526492,0.0
annual_quarter_half,learned_order_extension,2025,48,0.4791666666666667,0.5208333333333334,23,0.49444444444444446,0.4375,0.625,13,10,8,17,0.5351851851851852,0.2597394443071746,0.7139836857641301,0.4815117232648991,0.08709247522249183,-0.1434882767351009,0.0
annual_quarter_half,learned_order_extension,2026,30,0.4,0.6,12,0.3973214285714286,0.4666666666666667,0.4666666666666667,5,7,9,9,0.28125,0.26620030166393405,0.7257220252756702,0.4881443655326094,0.05216697685575725,0.02147769886594275,0.0
annual_quarter_half,learned_order_offset,2021,50,0.58,0.42,29,0.5950080515297906,0.68,0.46,18,11,16,5,0.5491143317230274,0.2578536792857192,0.7134749529909545,0.542771121408102,0.11668556017175873,0.082771121408102,0.0
annual_quarter_half,learned_order_offset,2022,49,0.3673469387755102,0.6326530612244898,18,0.41120689655172415,0.7551020408163265,0.40816326530612246,13,5,24,7,0.36379310344827587,0.2916369413879253,0.7788397456330426,0.5665865912613751,0.08413983345918163,0.15842332595525266,0.0
annual_quarter_half,learned_order_offset,2023,48,0.5208333333333334,0.4791666666666667,25,0.5127041742286751,0.4583333333333333,0.3958333333333333,9,16,13,10,0.47368421052631576,0.2568437528589811,0.70741876950489,0.4912700565420824,0.07278228780666537,0.09543672320874907,0.0
annual_quarter_half,learned_order_offset,2024,47,0.6382978723404256,0.3617021276595745,30,0.63,0.3617021276595745,0.46808510638297873,11,19,6,11,0.6454545454545455,0.234968198743852,0.662728650851574,0.473975441957455,0.07874923675052468,0.005890335574476269,0.0
annual_quarter_half,learned_order_offset,2025,48,0.4791666666666667,0.5208333333333334,23,0.49444444444444446,0.4375,0.625,13,10,8,17,0.5370370370370371,0.2596267170705886,0.7137299851461791,0.48126518493428844,0.08658731673086931,-0.14373481506571156,0.0
annual_quarter_half,learned_order_offset,2026,30,0.4,0.6,12,0.3973214285714286,0.4666666666666667,0.4666666666666667,5,7,9,9,0.28125,0.2661486554259644,0.7256179575398156,0.48817900411479614,0.05203387912944413,0.02151233744812947,0.0
annual_quarter_half,learned_vol_interaction,2021,50,0.58,0.42,29,0.5950080515297906,0.68,0.46,18,11,16,5,0.5571658615136876,0.25650264075119705,0.709655231107405,0.5469229595580899,0.10484874305214253,0.08692295955808987,0.0
