arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
dropout,drop_early,2018-12-31,20260910,7,1536,1921,16,1.0939758200002547,,,
dropout,drop_early,2018-12-31,20260910,8,1536,1921,16,1.0806830526329092,,,
dropout,drop_early,2018-12-31,20260910,9,1536,1921,16,1.1356681229887005,,,
dropout,drop_early,2018-12-31,20260910,10,1536,1921,16,1.0920932488103883,0.9662917777895927,1.0423868695894878,0.0007411234113081637
decay,drop_early,2018-12-31,20260910,1,1536,1921,16,1.0970939336376597,,,
decay,drop_early,2018-12-31,20260910,2,1536,1921,16,1.1296089331947659,,,
decay,drop_early,2018-12-31,20260910,3,1536,1921,16,1.0897560643070008,,,
decay,drop_early,2018-12-31,20260910,4,1536,1921,16,1.1207037222751537,,,
decay,drop_early,2018-12-31,20260910,5,1536,1921,16,1.1027957014371057,,,
decay,drop_early,2018-12-31,20260910,6,1536,1921,16,1.0875014302508401,,,
decay,drop_early,2018-12-31,20260910,7,1536,1921,16,1.0852059261802582,,,
decay,drop_early,2018-12-31,20260910,8,1536,1921,16,1.0614170984698112,,,
decay,drop_early,2018-12-31,20260910,9,1536,1921,16,1.104516804082545,,,
decay,drop_early,2018-12-31,20260910,10,1536,1921,16,1.0667456298802807,0.9516457803547382,1.031889374057452,0.0007426870935666702
combined,drop_early,2018-12-31,20260910,1,1536,1921,16,1.1011134834726424,,,
combined,drop_early,2018-12-31,20260910,2,1536,1921,16,1.1307476723856569,,,
combined,drop_early,2018-12-31,20260910,3,1536,1921,16,1.0909091739341779,,,
combined,drop_early,2018-12-31,20260910,4,1536,1921,16,1.1209760217974423,,,
combined,drop_early,2018-12-31,20260910,5,1536,1921,16,1.1047072073620225,,,
combined,drop_early,2018-12-31,20260910,6,1536,1921,16,1.0908638752729305,,,
combined,drop_early,2018-12-31,20260910,7,1536,1921,16,1.0940633953889791,,,
combined,drop_early,2018-12-31,20260910,8,1536,1921,16,1.080761430165471,,,
combined,drop_early,2018-12-31,20260910,9,1536,1921,16,1.1380785995631837,,,
combined,drop_early,2018-12-31,20260910,10,1536,1921,16,1.1057532524330302,0.9984220887223879,1.001809557278951,0.0007028447357842394
baseline,drop_middle,2018-12-31,20260910,1,1537,1921,16,1.0981514126853604,,,
baseline,drop_middle,2018-12-31,20260910,2,1537,1921,16,1.0999789617757882,,,
baseline,drop_middle,2018-12-31,20260910,3,1537,1921,16,1.0879262177538338,,,
baseline,drop_middle,2018-12-31,20260910,4,1537,1921,16,1.0974785612235771,,,
baseline,drop_middle,2018-12-31,20260910,5,1537,1921,16,1.0994708905542412,,,
baseline,drop_middle,2018-12-31,20260910,6,1537,1921,16,1.0682659219913593,,,
baseline,drop_middle,2018-12-31,20260910,7,1537,1921,16,1.0788033376721775,,,
baseline,drop_middle,2018-12-31,20260910,8,1537,1921,16,1.0175055720296022,,,
baseline,drop_middle,2018-12-31,20260910,9,1537,1921,16,1.013103099678532,,,
baseline,drop_middle,2018-12-31,20260910,10,1537,1921,16,0.9900724857750812,0.8623228243751501,1.053131316223157,0.0007571654788791325
small,drop_middle,2018-12-31,20260910,1,1537,1921,16,1.1002706527585848,,,
small,drop_middle,2018-12-31,20260910,2,1537,1921,16,1.10051130218347,,,
small,drop_middle,2018-12-31,20260910,3,1537,1921,16,1.0880904084751222,,,
small,drop_middle,2018-12-31,20260910,4,1537,1921,16,1.0980219307866088,,,
small,drop_middle,2018-12-31,20260910,5,1537,1921,16,1.1019502970342026,,,
small,drop_middle,2018-12-31,20260910,6,1537,1921,16,1.0794399770084364,,,
small,drop_middle,2018-12-31,20260910,7,1537,1921,16,1.111843702276196,,,
small,drop_middle,2018-12-31,20260910,8,1537,1921,16,1.0790629650018664,,,
small,drop_middle,2018-12-31,20260910,9,1537,1921,16,1.102023915100197,,,
small,drop_middle,2018-12-31,20260910,10,1537,1921,16,1.1057813643540397,0.9895835397649912,1.022837719555869,0.0007269076944247049
dropout,drop_middle,2018-12-31,20260910,1,1537,1921,16,1.100026204957123,,,
