state,cutoff,seed,mode,draw,audit_seed,return_mse,return_huber,auxiliary_mse,linear_fraction,common_joint
joint,2018-12-31,20260911,dropout,6,20261106,0.9448694030704707,0.7652228213024067,1.0038816904196324,0.26600728787090056,0.86561099034437
joint,2018-12-31,20260911,dropout,7,20261107,0.9434559946864075,0.7644096946780078,0.9994873947743665,0.26548672566371684,0.8643584341554444
return_only,2018-12-31,20260911,eval,-1,-1,0.9089372490542218,0.7406499843875126,1.000341818900173,0.25299323269130664,0.84068416627753
return_only,2018-12-31,20260911,dropout,0,20261100,0.9428589784266856,0.7619786942939245,1.0173073277625952,0.2581988547631442,0.863709427070184
return_only,2018-12-31,20260911,dropout,1,20261101,0.9359903441053355,0.756174890482559,1.017221117488175,0.25039042165538783,0.8578970022313765
return_only,2018-12-31,20260911,dropout,2,20261102,0.9437502481830954,0.765932200484412,1.020217407508358,0.26496616345653307,0.8679539412352478
return_only,2018-12-31,20260911,dropout,3,20261103,0.9318753912129618,0.758459980411038,1.015252131710817,0.25976054138469545,0.8599851935821197
return_only,2018-12-31,20260911,dropout,4,20261104,0.9401618663609791,0.7603731159395561,1.0151750444260537,0.25976054138469545,0.8618906203821615
return_only,2018-12-31,20260911,dropout,5,20261105,0.9388381037978223,0.7598553707222298,1.0112833732032236,0.25663716814159293,0.8609837080425521
return_only,2018-12-31,20260911,dropout,6,20261106,0.943978939615183,0.7649484063837327,1.0176698133225306,0.2665278500780843,0.8667153877159858
return_only,2018-12-31,20260911,dropout,7,20261107,0.9428659458358711,0.7642267296771664,1.0125784441200412,0.26548672566371684,0.8654845740891706
joint,2018-12-31,20260912,eval,-1,-1,0.9468176954837927,0.7630549981899659,1.0156650452533778,0.2576782925559604,0.8646215027153037
joint,2018-12-31,20260912,dropout,0,20261100,0.9564395191894284,0.7685235589393644,1.0249854867181265,0.260801665799063,0.871022107611177
joint,2018-12-31,20260912,dropout,1,20261101,0.9606285070998115,0.7721137856172403,1.0226617714371735,0.2706923477355544,0.8743799627609576
joint,2018-12-31,20260912,dropout,2,20261102,0.9597835266480225,0.7715342771603294,1.0242383981366943,0.26861009890681936,0.8739581169739988
joint,2018-12-31,20260912,dropout,3,20261103,0.9607311989916071,0.7720390400606245,1.023458987532619,0.25871941697032796,0.8743849388138865
joint,2018-12-31,20260912,dropout,4,20261104,0.9576693515205595,0.7694201536368802,1.0224510324126976,0.2602811035918792,0.87166525687815
joint,2018-12-31,20260912,dropout,5,20261105,0.9594518796122649,0.7726591258837486,1.0229314720216423,0.2644456012493493,0.8749522730859128
joint,2018-12-31,20260912,dropout,6,20261106,0.9530135374301082,0.7671463058661641,1.022917088755309,0.25923997917751174,0.8694380147416949
joint,2018-12-31,20260912,dropout,7,20261107,0.9579776709926129,0.7701256956855359,1.0247201022480161,0.26756897449245187,0.8725977059103376
return_only,2018-12-31,20260912,eval,-1,-1,0.9438054893498011,0.7611346447174363,1.036341497161654,0.26236335242061426,0.8647687944336018
return_only,2018-12-31,20260912,dropout,0,20261100,0.9531283606922887,0.7663139713514614,1.048358742487052,0.26236335242061426,0.8711498456001666
return_only,2018-12-31,20260912,dropout,1,20261101,0.9586228208659126,0.7709032631936,1.04581653886416,0.2701717855283706,0.8754849170800161
return_only,2018-12-31,20260912,dropout,2,20261102,0.9575569999827144,0.7700744175695812,1.0470190879766175,0.27173347214992194,0.8747763263672429
return_only,2018-12-31,20260912,dropout,3,20261103,0.9590327514130923,0.7711134460061034,1.046972447927733,0.260801665799063,0.8758106907988767
return_only,2018-12-31,20260912,dropout,4,20261104,0.9559768843928051,0.7682543435843028,1.0459780458289158,0.2644456012493493,0.8728521481671944
return_only,2018-12-31,20260912,dropout,5,20261105,0.9580212675169354,0.7719107626486497,1.0462068524454051,0.2670484122852681,0.8765314478931902
return_only,2018-12-31,20260912,dropout,6,20261106,0.9506472970362755,0.7657166652202191,1.0461241901076008,0.260801665799063,0.8703290842309792
return_only,2018-12-31,20260912,dropout,7,20261107,0.9561900549193713,0.7691698749391517,1.0490018525963212,0.26548672566371684,0.8740700601987839
joint,2019-12-31,20260910,eval,-1,-1,0.897042582837853,0.7287540331379383,1.004517334907834,0.2484988452655889,0.8292057666287217
joint,2019-12-31,20260910,dropout,0,20261100,0.9221470161101468,0.7446223005673795,1.0097571358084678,0.246189376443418,0.8455980141482263
joint,2019-12-31,20260910,dropout,1,20261101,0.9289863219509668,0.7500318215353604,1.008544666946416,0.2540415704387991,0.850886288230002
joint,2019-12-31,20260910,dropout,2,20261102,0.9132274566273028,0.7421887229286488,1.0070932505897507,0.24942263279445728,0.8428980479876239
joint,2019-12-31,20260910,dropout,3,20261103,0.9114548559188391,0.7406198852836603,1.007317045669977,0.2586605080831409,0.841351589850658
joint,2019-12-31,20260910,dropout,4,20261104,0.9166490643233101,0.7422304358291881,1.0076567356997357,0.24803695150115473,0.8429961093991617
joint,2019-12-31,20260910,dropout,5,20261105,0.9183339466610809,0.7448738337686528,1.008869261119093,0.2605080831408776,0.8457607598805621
joint,2019-12-31,20260910,dropout,6,20261106,0.9191947578835568,0.743278440095713,1.0078834594001533,0.2558891454965358,0.8440667860357283
joint,2019-12-31,20260910,dropout,7,20261107,0.9194646478804344,0.7445386790817077,1.0077254293559605,0.2577367205542725,0.8453112220173038
return_only,2019-12-31,20260910,eval,-1,-1,0.8965507501658018,0.7284659174225198,1.0188814950285277,0.24896073903002308,0.8303540669253725
return_only,2019-12-31,20260910,dropout,0,20261100,0.9214643455503133,0.7441325148579425,1.0230788029317355,0.24572748267898384,0.8464403951511161
return_only,2019-12-31,20260910,dropout,1,20261101,0.9286920634063098,0.7498224781531143,1.021696548831518,0.2540415704387991,0.8519921330362661
return_only,2019-12-31,20260910,dropout,2,20261102,0.9130588803449995,0.7422345709700326,1.0207532033530724,0.2517321016166282,0.84430989130534
return_only,2019-12-31,20260910,dropout,3,20261103,0.9110441271155737,0.7403665935163707,1.02079545715114,0.2572748267898383,0.8424461392314847
return_only,2019-12-31,20260910,dropout,4,20261104,0.9165554863122156,0.742198525204161,1.0211633281571486,0.24942263279445728,0.8443148580198758
return_only,2019-12-31,20260910,dropout,5,20261105,0.9184201624093021,0.7449916159073906,1.0219851706615772,0.26143187066974594,0.8471901329735483
return_only,2019-12-31,20260910,dropout,6,20261106,0.9193445243387908,0.7434118125734888,1.021346683841517,0.2558891454965358,0.8455464809576405
return_only,2019-12-31,20260910,dropout,7,20261107,0.9191800885586118,0.7443971057761589,1.0209332856893816,0.25635103926096997,0.8464904343450971
joint,2019-12-31,20260911,eval,-1,-1,0.8921548192981087,0.7256002395751919,0.9661155874249429,0.2471131639722864,0.8222117983176862
joint,2019-12-31,20260911,dropout,0,20261100,0.9276479082891349,0.7492463908794547,0.9852926375013163,0.2577367205542725,0.8477756546295863
joint,2019-12-31,20260911,dropout,1,20261101,0.9293747982516551,0.7532161412508416,0.9834079277363991,0.26143187066974594,0.8515569340244815
joint,2019-12-31,20260911,dropout,2,20261102,0.9229401714053771,0.7467639322679885,0.9826631226523094,0.25681293302540414,0.8450302445332195
joint,2019-12-31,20260911,dropout,3,20261103,0.9223306059102141,0.7492810290464577,0.9801815241351551,0.25958429561200924,0.8472991814599732
joint,2019-12-31,20260911,dropout,4,20261104,0.9219674551509152,0.746742583197645,0.9846807115838172,0.24988452655889146,0.8452106543560267
joint,2019-12-31,20260911,dropout,5,20261105,0.9160425295444707,0.7421957437903729,0.9797181859285534,0.2540415704387991,0.8401675623832282
joint,2019-12-31,20260911,dropout,6,20261106,0.9243713373009975,0.7496405528199646,0.9835562437153303,0.2572748267898383,0.8479961771914976
joint,2019-12-31,20260911,dropout,7,20261107,0.9226130055418593,0.7479737121147244,0.9825285831685705,0.2577367205542725,0.8462265704315814
return_only,2019-12-31,20260911,eval,-1,-1,0.8919533930499787,0.7253964918871403,0.975497194236751,0.2471131639722864,0.8229462113108154
return_only,2019-12-31,20260911,dropout,0,20261100,0.9276234949210941,0.7493122948764888,0.9936971679192217,0.25635103926096997,0.848682011668411
return_only,2019-12-31,20260911,dropout,1,20261101,0.9292392480451189,0.7531481354881081,0.9918105658393258,0.26143187066974594,0.8523291920720407
return_only,2019-12-31,20260911,dropout,2,20261102,0.9230032331694201,0.7468433375796744,0.9911085933997504,0.25681293302540414,0.8459541969196493
return_only,2019-12-31,20260911,dropout,3,20261103,0.922615829200464,0.7494343854455039,0.9886221713337007,0.2572748267898383,0.848296602578874
return_only,2019-12-31,20260911,dropout,4,20261104,0.9216215940089838,0.7464187697074656,0.9929986732463432,0.25034642032332566,0.8457186370320999
return_only,2019-12-31,20260911,dropout,5,20261105,0.916017437327381,0.7421482334631839,0.9881707468067938,0.2526558891454965,0.8409653081438633
return_only,2019-12-31,20260911,dropout,6,20261106,0.9243330940573163,0.74960645167096,0.9916412498363171,0.2572748267898383,0.8487705766545917
return_only,2019-12-31,20260911,dropout,7,20261107,0.9223857901553918,0.7477325889607378,0.9907430251634424,0.2545034642032333,0.8468068914770821
joint,2019-12-31,20260912,eval,-1,-1,0.9033618969429461,0.7396013335301607,1.021689080665486,0.2554272517321016,0.8417702415967092
joint,2019-12-31,20260912,dropout,0,20261100,0.9347960737070415,0.7574712061430986,1.0259223733088711,0.2545034642032333,0.8600634434739858
joint,2019-12-31,20260912,dropout,1,20261101,0.922851698309506,0.7516420204637073,1.0256533933016225,0.26096997690531176,0.8542073597938695
joint,2019-12-31,20260912,dropout,2,20261102,0.9332748843838498,0.757338783513628,1.0272790595424506,0.25219399538106235,0.8600666894678731
joint,2019-12-31,20260912,dropout,3,20261103,0.9304777418670243,0.7554832466032774,1.0262155338966956,0.2558891454965358,0.858104799992947
joint,2019-12-31,20260912,dropout,4,20261104,0.9297880507487274,0.7540642713259622,1.0247156964593478,0.2554272517321016,0.8565358409718971
joint,2019-12-31,20260912,dropout,5,20261105,0.9328845036850144,0.7582195411338774,1.0259872472709515,0.2531177829099307,0.8608182658609725
joint,2019-12-31,20260912,dropout,6,20261106,0.9270376922011075,0.7514990735545605,1.0256039044821923,0.24896073903002308,0.8540594640027797
joint,2019-12-31,20260912,dropout,7,20261107,0.9293473355020289,0.7551508327550186,1.0212941235262583,0.26096997690531176,0.8572802451076444
return_only,2019-12-31,20260912,eval,-1,-1,0.8990752028545328,0.7376005851293408,1.063230761593126,0.25635103926096997,0.8439236612886534
return_only,2019-12-31,20260912,dropout,0,20261100,0.9327017221312994,0.7564968904584108,1.0600598291474594,0.25496535796766745,0.8625028733731568
return_only,2019-12-31,20260912,dropout,1,20261101,0.9200189011681166,0.7500652257204836,1.059573264108588,0.25958429561200924,0.8560225521313425
return_only,2019-12-31,20260912,dropout,2,20261102,0.9309816656180366,0.7561416541567269,1.061472664332968,0.2535796766743649,0.8622889205900237
return_only,2019-12-31,20260912,dropout,3,20261103,0.9278033552266199,0.7540970086850799,1.0603912626726524,0.2586605080831409,0.8601361349523451
return_only,2019-12-31,20260912,dropout,4,20261104,0.9283043417223007,0.7532100038676078,1.0579996673945191,0.2554272517321016,0.8590099706070597
return_only,2019-12-31,20260912,dropout,5,20261105,0.9295186897285093,0.7564898457428841,1.0597365759416348,0.2535796766743649,0.8624635033370476
return_only,2019-12-31,20260912,dropout,6,20261106,0.9243080176532011,0.7496152670500194,1.0594031830926967,0.2517321016166282,0.855555585359289
return_only,2019-12-31,20260912,dropout,7,20261107,0.9261147237847499,0.7536099384130367,1.0537911344551876,0.2600461893764434,0.8589890518585555
